Unnamed: 0.1,Dates,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/30/2000,12/31/2000,3/31/2001,6/30/2001,9/30/2001,12/31/2001,3/31/2002,6/30/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/31/2005,3/31/2006,6/30/2006,9/30/2006,12/31/2006,3/31/2007,6/30/2007,9/30/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018
MMM US  EQUITY,RETURN_COM_EQY,1.635729053,1.642973065,1.633762168,1.631822879,1.596274169,1.565789274,1.583268428,1.558339476,1.561548554,1.631299435,1.495776027,1.453906118,1.418988256,1.40733518,1.498836395,1.530470952,1.601193839,1.64724554,1.592434907,1.588131607,1.52707067,1.569364796,1.583116908,1.494490701,1.440976589,1.501520441,1.570691351,1.533943114,1.581565297,1.524339586,1.455394597,1.462792897,1.529547186,1.569561755,1.596504775,1.593634655,1.585370932,1.607956065,1.642403761,1.614813937,1.734329771,1.544487582,1.652530793,1.649371946,1.643407554,1.518570831,1.517985046,1.419580026,1.467903697,1.436876009,1.526705499,1.447402601,1.459514247,1.365715367,1.343341696,1.391888538,1.402778366,1.445953266,1.474682129,1.493563517,1.510474041,1.552011632,1.580501191,1.590774157,1.618744625,1.588212705,1.614415321,1.603031511,1.567369325,1.589764949,1.572863725,1.579297378,1.586472165,1.611825437,1.633956859,1.613472551,1.600601949,1.552015077,1.472226564,1.523852714,1.389839915,1.20847344,1.238500975,1.245266287,1.213992631,1.167858519,1.094816655,1.144753456,1.224289656,1.225919123,1.061191436,0.946641832,0.961983632,0.973951919,0.973519315
AOS US  EQUITY,RETURN_COM_EQY,1.370138555,1.382390777,1.309263194,1.293759877,1.333352242,1.23701008,1.236667889,0.687586427,1.666971513,1.658757789,1.650654332,1.663740765,1.690779161,1.645522044,1.680834295,1.656625626,1.648119415,1.176566879,1.133960965,1.147120385,1.213578985,1.282843266,1.264171783,1.332344035,1.373505432,1.401104049,1.117182711,1.206297849,1.57568904,1.579628927,1.496170803,1.477901636,1.463848488,1.485577558,1.476459733,1.457227675,1.432970969,1.417602135,1.405312156,1.442516917,1.487629794,1.523878007,1.594340289,1.563130624,1.044814513,1.070702315,1.18622661,1.199034883,1.250041494,1.320385341,1.397316419,1.395780615,1.476135815,1.511803919,1.456457522,1.449233716,1.519637033,1.614783609,1.585264958,1.561905474,1.616774433,1.599867109,1.63017928,1.550134102,1.530794379,1.590959725,1.507852859,1.634392019,1.711761467,1.720460026,1.685321095,1.69097317,1.720601407,1.735534333,1.840456258,1.82570109,1.832080829,1.849744005,1.761568073,1.714067169,1.749333023,1.754319313,1.787307477,1.726243273,1.77956047,1.7702185,1.775398146,1.753047523,1.758002595,1.741944557,1.739063976,1.746448133,1.762763219,1.745454418,1.735535405
ABT US  EQUITY,RETURN_COM_EQY,1.619200375,1.594809635,1.552514031,1.670538644,1.401754035,1.397930006,1.365190802,1.423566467,1.380278659,1.326171127,1.328268849,1.433321592,1.402405601,1.427812046,1.441965262,1.554003,1.613446639,1.659811732,1.686392343,1.710214001,1.811567984,1.805177624,1.814923837,1.154229807,1.134947438,1.183510372,1.211188941,1.306434696,1.325834975,1.339846677,1.398277552,1.425631045,1.459629321,1.421888396,1.49705243,1.449083872,1.380715177,1.402375734,1.408285356,1.373455594,1.477910656,1.391603711,1.395491114,1.422244732,1.140715396,1.230138837,0.920390813,0.971658573,1.049939022,1.078016405,1.209422652,1.185157231,1.181517585,1.394665233,1.340898974,1.141322858,1.172064802,1.179825114,1.18931815,1.083428227,0.959758856,0.984085949,1.029907982,1.106613755,1.160709652,1.189818383,1.28991419,1.26417933,1.158638285,1.307425434,1.195849045,1.58530978,1.561682275,1.583486066,1.715454993,1.652450371,1.690451912,1.654339719,1.599267955,1.573984707,1.603487266,1.59853629,1.60393307,1.586873328,1.609908144,1.630484312,1.142643928,1.366579135,1.379441087,1.384007836,1.276590667,1.410956473,1.423404013,1.366613983,1.449794056
ABBV US  EQUITY,RETURN_COM_EQY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.959115526,1.912963174,1.989093075,1.985340047,0.237389277,0.232841511,0.273297309,0.26237269,0.281047785,0.304765217,0.319227455,0.287260608,0.240433559,0.2368444,0.234929362,0.23198993,0.238522905,0.234862327,0.239418228,0.241816695,0.236236596,0.243847098,0.244815047,0.246634732,0.241632121,0.231777225,0.231238421,0.227070119,0.227430256
ACN US  EQUITY,RETURN_COM_EQY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.799345303,1.773506369,1.694152816,1.750927822,1.787351161,1.882765026,1.843977551,1.883592137,1.873048206,1.860580161,1.90454385,1.942994076,1.914212472,1.850116414,1.890297282,1.925418418,1.891131564,1.91406091,1.856992036,1.860298426,1.892323605,1.879993139,1.884117024,1.894890895,1.904431059,1.940617806,1.981846599,1.985828662,1.991017407,1.983608745,1.909051586,1.91090499,1.926120176,1.909536283,1.934212614,1.910694251,1.913332529,1.928021619,1.958552589,1.961348584,1.966741721,2.005324786,2.022498063,1.961805307,1.911796438,1.987758378,1.985332147,1.863560772,1.844169861,1.861604893,1.898284971,1.99192104,2.001942845,2.034432714,2.041994996,1.887044788,1.853207437,1.894792111,1.868577449,1.877897967,1.819394899,1.872254379,1.891566512,1.892353115,1.887508759,1.873791092,1.90526001,1.862076284,1.804353774,1.795556347,1.757665833,1.762048531
ATVI US  EQUITY,RETURN_COM_EQY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.9894598,1.994624496,1.985923946,1.911505719,1.91098685,1.926599161,1.909965928,1.934495986,1.911488984,1.913451303,1.928255689,1.959095485,1.962488752,1.968016045,2.006684144,2.02374906,1.962417044,1.912963174,1.989093075,1.985340047,1.704518701,1.258019847,1.332371329,1.349017875,1.326623396,1.365958353,1.407182851,1.47487903,1.478569902,1.499676442,1.349441311,1.454429645,1.383809676,1.507687168,1.583552061,1.597349567,1.606374698,1.584828574,1.602646529,1.625509812,1.737934564,1.705526633,nan,nan,nan
AYI US  EQUITY,RETURN_COM_EQY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.597338806,0.674275255,0.707880149,0.797143386,0.799847475,0.850234634,0.924481504,0.93413848,0.884147831,0.944788091,1.002959707,1.076863706,1.010440552,1.0307963,1.057418819,1.149293573,1.170800032,1.130293718,1.118410922,1.138925167,1.162798629,1.23381086,1.300269004,1.103009182,1.204216659,1.234131964,1.279006477,1.202100542,1.353724574,1.611113513,1.490986567,1.579618607,1.575373029,1.404629489,1.410975329,1.389574797,1.413726993,1.432369094,1.449102589,1.448927311,1.468636715,1.470543266,1.502121466,1.506938165,1.506821055,1.516005412,1.536748923,1.575627187,1.628175388,1.655656891,1.68634256,1.71938564,1.655947835,1.664817473,1.690265642,1.698220869,1.733674951,1.699036606,1.756235279,1.774981409,1.781204044,1.781450978,1.758074182,1.783825735,1.769092092,1.716473884,1.711175044,1.688683259,1.693468008
ADBE US  EQUITY,RETURN_COM_EQY,1.994226308,1.996941133,1.986555344,1.965263807,1.958726409,1.958420569,1.929774416,1.911089783,1.969922667,1.948649388,1.958919347,1.990357771,2.010977476,2.051930411,2.083957822,2.006468462,1.969639771,1.991077164,1.995963395,1.993624121,2.026902951,2.000546357,1.997073262,1.96173991,1.931315368,1.948033003,1.998401775,1.967223006,1.970643191,1.903488408,1.926660009,1.912368571,1.898587497,1.937626575,1.970367333,1.93845693,1.867144568,1.919345792,1.941137765,1.919929248,1.943282488,1.887140813,1.89294971,1.927106798,1.905479829,1.905090281,1.909399462,1.916208584,1.952843626,1.992812211,1.9894598,1.864758293,1.890789796,1.835728582,1.842540151,1.858388307,1.841727311,1.857672111,1.703418608,1.622750622,1.625519,1.623504929,1.626828354,1.650288722,1.660400482,1.688175441,1.682821478,1.661485779,1.70977578,1.720472442,1.665913554,1.65818502,1.67504872,1.69831996,1.75290873,1.762025238,1.784483085,1.80643077,1.711646569,1.660356972,1.67533173,1.683785697,1.713966095,1.677378377,1.726690132,1.738089424,1.744611301,1.74386949,1.751110785,1.771074121,1.75795687,1.717144085,1.716585802,1.686528252,1.560219144
AAP US  EQUITY,RETURN_COM_EQY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.347354105,0.329998219,0.318725789,0.465858723,0.606077236,0.641210224,0.697944396,0.774164834,0.99814839,1.139662997,1.19242695,1.338147927,1.455233113,1.370037911,1.187242879,1.200344162,1.295366641,1.335954734,1.311114408,1.36898623,1.343924397,1.354188791,1.377905706,1.541010394,1.640453598,1.526088955,1.418698892,1.343142402,1.498753386,1.523302852,1.528114339,1.681398714,1.706337711,1.691483371,1.753115395,1.664291725,1.641763038,1.665516619,1.638789194,1.406311066,1.111228476,1.136049096,1.424569687,1.296638997,1.345438124,1.406269578,1.430864607,1.45778765,1.496598323,1.549994277,1.261898143,0.736938921,0.918883356,1.16100338,1.267740037,1.30948294,1.419898811,1.520083681,1.536756963,1.581797933,1.616719728,1.66230801,1.663148226,1.669268813,1.693928702,1.686089196,1.660005794,1.665640648,1.643433923,1.647343401
AMD US  EQUITY,RETURN_COM_EQY,1.814781405,1.828829643,1.814769971,1.817382706,1.815770386,1.662871958,1.647717923,1.516408813,1.549260883,1.535215075,1.539239711,1.530686188,1.223017704,1.095677147,1.177348786,1.047270094,1.174871317,1.210282078,1.22865978,1.293682333,1.358872512,1.553420086,1.586559729,1.514952767,1.699846588,1.699278871,1.722368198,1.609567894,1.567449699,1.492842762,1.236252759,1.212930627,1.279149914,1.295669735,1.298416318,1.29684628,1.315495959,1.302583428,1.397614033,1.377599317,1.337676713,1.311980789,1.47996134,1.773157656,1.754875344,1.759373401,1.204528945,1.15959455,0.739326139,0.708814157,0.540972573,0.484339967,0.286648575,0.302878232,0.242489077,0.256149915,0.25150363,0.261624598,0.347106096,0.279792349,0.272263716,0.256567126,0.370217564,0.604327681,0.609635782,0.698983602,0.716684365,0.500596024,0.487275336,0.426845262,0.289333892,0.236372239,0.23500137,0.240673021,0.249164325,0.252478833,0.259422366,0.262370647,0.240433559,0.2368444,0.234929362,0.23198993,0.238522905,0.234862327,0.239418228,0.309165023,0.379175704,0.382923806,0.395092988,0.472111568,0.570971433,0.717951661,0.859740254,1.136782597,1.252621629
