Unnamed: 0.1,Dates,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/29/2000,12/29/2000,3/30/2001,6/29/2001,9/28/2001,12/31/2001,3/29/2002,6/28/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/30/2005,3/31/2006,6/30/2006,9/29/2006,12/29/2006,3/30/2007,6/29/2007,9/28/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/30/2011,3/30/2012,6/29/2012,9/28/2012,12/31/2012,3/29/2013,6/28/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/30/2016,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018
MMM US  EQUITY,NET_OPERATING_ASSETS,0.426703819,0.428352475,0.442274735,0.474595051,0.55176681,0.528996544,0.549348295,0.559201067,0.557386897,0.600469464,0.565497519,0.563676258,0.559542539,0.575761826,0.5538194,0.594684048,0.628636516,0.649535936,0.631564343,0.680844184,0.672271055,0.690104782,0.664060747,0.703358886,0.721007334,0.740743257,0.731918518,0.794850006,0.790839831,0.803336037,0.804836336,0.804160751,0.833569091,0.792884991,0.824117242,0.824348209,0.842176214,0.820363696,0.755649636,0.750888083,0.773191209,0.693785185,0.699605587,0.694667936,0.707303618,0.692451032,0.783127733,0.773284814,0.757306891,0.728944593,0.712499884,0.672320613,0.638381649,0.652114565,0.674330302,0.685588567,0.693640455,0.665693756,0.678800655,0.712642319,0.722136389,0.695806179,0.665916849,0.619823485,0.629749009,0.635013099,0.697781416,0.676888751,0.698844649,0.696799769,0.675639809,0.686915211,0.695918305,0.675568627,0.696392559,0.6698828,0.672517436,0.706631461,0.820519793,0.805352622,0.819831523,0.695723477,0.733641956,0.725744196,0.73708223,0.753210613,0.833702932,0.804370402,0.831816785,0.845842444,0.816202628,0.791385851,0.818726301,0.833372679,0.891157128
AOS US  EQUITY,NET_OPERATING_ASSETS,1.655215819,1.663365222,1.641791161,1.630009211,1.640120283,1.6333681,1.63278187,1.584576669,1.697562726,1.701167646,1.715346436,1.710189114,1.717693233,1.707566244,1.726239941,1.71970033,1.7279074,1.688081884,1.691342691,1.68547672,1.695469173,1.715364754,1.718201035,1.711662395,1.712014995,1.7107376,1.703011628,1.706476028,1.701097803,1.671060268,1.652695434,1.657672541,1.640013109,1.672606496,1.661677588,1.658051898,1.663402385,1.66547069,1.681394343,1.690931743,1.708822719,1.714361252,1.713136121,1.728741868,1.682755908,1.688043674,1.693289956,1.720704311,1.732612839,1.746798121,1.744950432,1.771147222,1.780448002,1.782139877,1.780889313,1.779922314,1.782134359,1.789411996,1.795070629,1.769868252,1.770934225,1.777073184,1.786182854,1.776015213,1.778812649,1.810493476,1.81289839,1.818177375,1.818025078,1.801494449,1.829916995,1.83270747,1.843102841,1.850862805,1.860086361,1.852268145,1.859618806,1.863785516,1.886144295,1.867610367,1.842659815,1.854234412,1.861828851,1.847786778,1.846752784,1.838915345,1.85987897,1.860726719,1.85889769,1.84879111,1.857906733,1.860957845,1.872417453,1.872384907,1.852111667
ABT US  EQUITY,NET_OPERATING_ASSETS,0.677156663,0.676647996,0.649441918,0.665657479,0.588957379,0.586701564,0.60767978,0.61815971,0.609373426,0.618765023,0.622201252,0.6334429,0.619232931,0.624617927,0.585592348,0.597658043,0.604577709,0.637118584,0.624795354,0.629057537,0.683396609,0.684581637,0.692832691,0.470222832,0.445807924,0.455463724,0.442094623,0.460235539,0.446047529,0.468785704,0.49900342,0.486837472,0.499059954,0.477822637,0.463641825,0.461033644,0.474860353,0.471037735,0.449546874,0.437745108,0.45420036,0.475263178,0.488702583,0.488382705,0.401392949,0.41649733,0.39981155,0.391360147,0.389439584,0.393390219,0.388965887,0.371553016,0.375222064,0.401588023,0.423261771,0.359693433,0.354753248,0.357144266,0.342684167,0.299966208,0.324639581,0.309662703,0.317159918,0.316552112,0.336538697,0.358899087,0.374816742,0.370232388,0.393850807,0.410938283,0.397115205,0.606702972,0.617298451,0.557596168,0.567497153,0.566828312,0.580767321,0.534015692,0.550503747,0.683155905,0.724662799,0.737791414,0.63067579,0.61525913,0.641905293,0.746063641,0.68141377,0.36344255,0.37671467,0.398079707,0.367636839,0.373442919,0.379488279,0.394514427,0.427409208
ABBV US  EQUITY,NET_OPERATING_ASSETS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.978538522,0.947011821,1.016221599,1.071158653,1.06953881,1.137989997,1.215859154,1.305936001,1.267866943,1.229360549,1.265437549,1.136396649,1.368373047,1.359877547,0.538298449,0.550902893,0.563230674,0.563245058,0.464823871,0.469875623,0.472605834,0.471360862,0.477122612,0.508774789,0.547209952,0.579173773,0.601754106,0.63349547,0.801612138
ACN US  EQUITY,NET_OPERATING_ASSETS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.6873984,1.797132269,1.797439143,1.809743992,1.80976015,1.800793969,1.757105226,1.726806475,1.735016392,1.715959788,1.754029522,1.744028063,1.745227171,1.751505626,1.750513384,1.758880973,1.769788355,1.783472648,1.781510486,1.776702993,1.78826499,1.766544485,1.770891925,1.777134517,1.805820364,1.817434861,1.829140337,1.816909133,1.849445949,1.859108799,1.856202069,1.842400152,1.84314182,1.843567523,1.847293,1.863924337,1.831048606,1.829227485,1.835242788,1.841951508,1.84116313,1.841915355,1.840131147,1.852259744,1.860769237,1.857600723,1.83654652,1.864734083,1.8639116,1.871411586,1.878570472,1.86882005,1.78005952,1.789862514,1.84442852,1.850225826,1.775402144,1.761271799,1.77691199,1.717201292,1.651793271,1.664348709,1.718254707,1.691347489,1.620025306,1.618905366,1.618753504,1.590009845,1.567856808,1.608636781,1.642449425,1.489649029
ATVI US  EQUITY,NET_OPERATING_ASSETS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.058498563,1.085417096,1.11190488,1.095177638,1.067178682,1.160177655,1.166091368,1.11881037,1.140917121,1.274240872,1.262892333,1.224523142,1.231339866,1.29892172,1.319389164,1.295387587,1.283585613,1.347487154,1.363270573,1.338437625,1.163642594,1.404351005,1.406741247,1.390414529,1.398956621,1.460473809,1.463670645,1.434953317,1.425043607,1.25334053,1.207575618,1.213161637,1.229454148,1.264831254,1.2955924,1.291516553,1.296014889,1.40519149,1.423695377,1.38764062,1.387105487,1.41280943,nan,nan,nan
AYI US  EQUITY,NET_OPERATING_ASSETS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.680847338,1.686962545,1.684142291,1.656160874,1.629482972,1.640449563,1.62776009,1.666317172,1.658938629,1.65897453,1.663897477,1.666744915,1.674678603,1.687626473,1.705682381,1.709719858,1.706426872,1.723629592,1.710697246,1.716258199,1.717687788,1.750228464,1.762469463,1.761906142,1.782941977,1.815133392,1.823228263,1.82145221,1.80696547,1.804187768,1.783862836,1.791744179,1.803707347,1.781324104,1.779506738,1.79177301,1.79449736,1.789240757,1.79994188,1.809127613,1.810932743,1.823258427,1.822523182,1.807702111,1.831636199,1.835047177,1.845132566,1.852005792,1.862909721,1.857381456,1.866484441,1.873602487,1.891967782,1.876297849,1.851942166,1.861822702,1.850501691,1.81767104,1.817130565,1.815136628,1.827854919,1.832896278,1.833373566,1.829140901,1.835647438,1.837655037,1.843301892,1.840017995,1.822830875
ADBE US  EQUITY,NET_OPERATING_ASSETS,1.748305613,1.755200535,1.731789111,1.726038773,1.723315695,1.745682089,1.738801184,1.72795812,1.724226362,1.733015588,1.74290219,1.734117448,1.743814359,1.754273573,1.772358803,1.763380505,1.776181652,1.80071618,1.800459735,1.793541359,1.798755592,1.812740192,1.810292701,1.795768837,1.797132269,1.793292873,1.809608371,1.805867147,1.79405309,1.750474612,1.725064965,1.735016392,1.715959788,1.754029522,1.744028063,1.745227171,1.751505626,1.749321215,1.758498814,1.764876106,1.779051245,1.77634485,1.773496222,1.508005655,1.514051401,1.524459489,1.531114214,1.561906977,1.569247192,1.590860583,1.608043317,1.643110607,1.655860483,1.638711039,1.612896368,1.627532879,1.637694762,1.640379205,1.510068849,1.510565304,1.508217342,1.521581011,1.514546703,1.516453683,1.53646507,1.535885861,1.534969548,1.523460804,1.540532561,1.532821069,1.553933216,1.564909151,1.580386284,1.544083902,1.572013936,1.580121158,1.603886371,1.615903972,1.638164092,1.588078233,1.596369081,1.603677274,1.619350836,1.619399311,1.628677234,1.636493109,1.657973031,1.653139507,1.661526325,1.668148253,1.681938428,1.700377081,1.715865739,1.636794723,1.414191785
AAP US  EQUITY,NET_OPERATING_ASSETS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.711240883,1.719411945,1.651518579,1.652859355,1.630949097,1.604997443,1.610932819,1.604234743,1.643381256,1.64077411,1.634455324,1.640543992,1.642526751,1.652562994,1.65927707,1.678736279,1.671679479,1.661108993,1.670475514,1.663329086,1.664867255,1.659789981,1.684648017,1.698215299,1.712230884,1.712105232,1.736813308,1.751688997,1.752176868,1.728386908,1.728222298,1.737821098,1.741572417,1.758343623,1.738454907,1.746853296,1.761874483,1.767295319,1.764190055,1.776833266,1.783434302,1.781569659,1.80430427,1.801684811,1.785420874,1.807790239,1.817772024,1.808972903,1.817935595,1.826420188,1.827127023,1.6838076,1.691623692,1.707787395,1.707033468,1.688203683,1.694490387,1.701913943,1.699460957,1.692167738,1.689521863,1.703136074,1.710667132,1.705877678,1.710075057,1.714623618,1.724045337,1.731562939,1.741963471,1.732827419
AMD US  EQUITY,NET_OPERATING_ASSETS,1.37209919,1.352662022,1.33174222,1.318225184,1.319464051,1.296153957,1.339783694,1.330136202,1.319505261,1.324559327,1.354316749,1.328412753,1.334973362,1.286449299,1.305070122,1.256977189,1.310427469,1.306076395,1.361975475,1.384889305,1.391673465,1.402168825,1.376440437,1.373184172,1.309690028,1.31437966,1.324318186,1.3460315,1.304932466,1.312079807,1.368316703,1.361419905,1.392847609,1.316561709,1.328670184,1.3364283,1.318041864,1.307102458,1.297347284,1.304837738,1.332464941,1.327598251,1.452992866,1.490246945,1.482505659,1.461527831,1.031744973,1.054035693,1.016309719,1.073585012,1.254394036,1.287456497,1.394495813,1.403095515,1.497305294,1.501869897,1.521632169,1.526706266,1.529616621,1.717870927,1.731282049,1.752848687,1.73371632,1.701907973,1.719770178,1.728709463,1.751088804,1.792198702,1.789091118,1.760963773,1.798089104,1.81350725,1.822065509,1.828999498,1.832896332,1.812459865,1.814550132,1.815832595,1.865111483,1.851231889,1.834196863,1.848461802,1.862210595,1.854320527,1.859971802,1.844706724,1.865637645,1.865314523,1.873387391,1.863956944,1.872206561,1.874902542,1.874076307,1.870256338,1.848858246
