Unnamed: 0.1,Dates,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/30/2000,12/31/2000,3/31/2001,6/30/2001,9/30/2001,12/31/2001,3/31/2002,6/30/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/31/2005,3/31/2006,6/30/2006,9/30/2006,12/31/2006,3/31/2007,6/30/2007,9/30/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018
MMM US  EQUITY,RETURN_COM_EQY,1.284144181,1.282614182,0.826993702,0.814537393,0.868484007,0.894653696,1.631005286,1.662443032,1.833375084,2.614656961,2.714411809,2.59514888,2.556095449,1.489409332,1.341638066,1.347523467,1.430193718,1.734344442,1.996772866,2.124944287,2.020866911,2.02014563,1.969889595,1.91779225,1.71085881,1.657680104,1.844120316,1.919630642,2.220598573,2.222615508,2.407634698,2.348391366,2.316721274,2.276996371,2.595043785,2.784554955,2.778319216,2.829608002,2.671819843,2.673022552,2.491237662,2.469011064,2.199095599,2.234973836,2.306127751,2.380644744,2.858344497,3.116464243,2.959780841,2.963407731,2.604219712,2.198007064,2.187591068,2.102338862,1.982513303,1.8105826,1.794097624,1.744068071,2.002328364,2.160740556,2.218397961,2.064679929,1.928883432,1.858309076,1.732999923,1.64082776,1.761865894,1.632513443,1.654379019,1.644116776,1.69994418,1.523202921,1.538693787,1.561204049,1.515997907,1.550075306,1.570610442,1.614278997,1.893404603,1.710387966,1.923408153,2.056333737,2.08241842,1.864206257,1.811927938,1.929608053,2.202225324,2.209043868,2.204251232,2.197376719,2.116551169,1.787734071,1.878457791,1.831871978,2.04661082
AOS US  EQUITY,RETURN_COM_EQY,1.170746139,1.052920522,1.109220929,1.051852718,0.944066194,1.01962022,0.950457192,1.001395419,2.91212572,2.884004662,2.953665237,2.795541145,0.742317788,0.779369966,0.756022101,0.820464906,0.812458979,0.775191254,0.648340043,0.62518205,0.642051355,0.636260393,0.549667525,0.559308761,0.563473875,0.572104214,0.660255533,0.7391785,0.770472974,0.842492039,1.068280619,0.999711508,0.929248148,0.840834181,0.770603832,0.696482994,0.63892717,0.585103489,0.484815092,0.495915509,0.456040396,0.471013654,0.514547406,0.518122158,0.606716815,0.628133287,0.630522221,0.654936323,0.656658388,0.681649153,0.67906286,0.696060374,0.727228307,0.770231609,0.918289042,0.906890226,0.920766395,1.000911692,0.966414267,1.06621363,0.903980206,0.801111781,0.799162489,0.809207639,0.98020514,2.026390568,2.041913891,1.917157207,1.823460913,0.776330277,0.825752738,0.765847289,0.760300454,0.761747427,0.732572701,0.733877388,0.762308664,0.755601601,0.77713862,0.802882656,0.876126649,0.974773908,1.045853028,1.041324976,1.050392631,1.075110221,1.082994157,1.097454919,1.077592198,1.088493211,0.91415298,0.909430155,0.926952402,0.895423419,1.076275758
ABT US  EQUITY,RETURN_COM_EQY,3.284174538,3.260096878,3.062599169,2.844822634,3.057143273,3.201014389,3.142853748,3.288674818,3.296056168,3.1372149,2.988767734,2.795541145,2.740137137,2.955217706,3.039748901,2.983485959,3.049042564,2.90273572,2.679174305,2.554877449,2.435605403,2.539106355,2.567666464,1.606060691,1.477661675,1.522957539,1.489184261,2.392519315,2.363010669,2.231496068,2.142640813,1.950558973,1.67529598,1.615388724,1.730482322,1.64927657,1.899454544,1.939171614,1.736670549,1.703074123,1.830087364,1.71504581,1.573706049,1.597037455,1.366922053,1.333203696,0.640696793,0.608950926,0.685848133,0.66325974,1.37634151,1.47800805,1.542176,1.65999298,1.754973463,1.959313046,1.961052583,2.026246466,2.007773437,1.916227402,1.840286121,1.487269916,1.266023603,1.199853117,1.339775524,1.132576545,1.166505421,1.174920902,1.160609219,1.631332689,1.445824945,1.271219744,0.955308547,0.698076989,0.624148294,0.626834636,0.619265134,0.564930333,0.598335404,0.920303315,1.03719216,1.129742437,1.082057092,0.720642903,0.700634692,0.615635171,0.609996294,0.580315428,0.562314134,0.624712362,0.529331289,0.523248091,0.537062821,0.524385476,0.592077398
ABBV US  EQUITY,RETURN_COM_EQY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.553941643,3.874209516,3.906747598,3.12493276,3.952012065,3.894360268,3.754967535,3.786364472,3.592085238,3.443461372,2.332596122,3.608303928,3.99282413,4.061109354,4.147491976,4.056950567,3.93624089,3.954974424,4.059199848,4.086167928,4.071652031,3.968835915,3.840954028,3.837710955,4.076286108
ACN US  EQUITY,RETURN_COM_EQY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.296000784,0.301003039,2.870128037,2.572394622,2.584989673,2.55605661,2.707737088,2.992942159,2.972807866,2.944466265,3.04641022,3.139914199,3.120202606,3.08759864,3.162731723,3.239230866,3.012423935,3.039341511,3.089259665,3.133323924,3.240075983,3.108677683,3.119415049,3.193752751,3.176964555,3.175498748,3.018418327,2.872283377,2.765466479,2.707333468,2.842590181,3.257786619,3.417054826,3.535231134,3.506901232,3.580564041,3.566057497,3.654309376,3.534502556,3.443853874,3.722387167,3.692781135,3.735588984,3.553941643,3.757716095,3.906747598,3.705416367,3.952012065,3.494414052,3.398432471,3.408647601,3.65524465,3.087345859,3.23208358,3.114907704,2.876419321,2.759658973,2.619655768,2.804621202,3.078234854,2.539816495,2.249109671,2.018921697,2.055771271,1.929258293,2.06267742,1.907185014,1.57887653
ATVI US  EQUITY,RETURN_COM_EQY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.642436127,0.675491268,0.77322125,0.783851871,0.647119623,0.592991492,0.568634656,0.558652543,0.56744533,0.65181125,0.600894147,0.546387971,0.560959149,0.630892593,0.674987116,0.721380526,0.675555483,0.709081004,0.631207205,0.565866043,0.546859539,0.668758432,0.699419026,0.669198432,0.742098567,0.658340507,0.656400253,0.63235586,0.673385281,0.714389967,0.726145988,0.733603819,0.714964874,0.536713314,0.549365976,0.574469554,0.583913691,0.858825335,nan,nan,nan
AYI US  EQUITY,RETURN_COM_EQY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.212504246,1.090849637,1.070021134,1.000442412,0.904264221,0.867415222,0.833864462,0.973668402,0.843641672,0.627500767,0.619024319,0.592640035,0.63454741,0.894633106,1.051869949,1.18666493,1.289000075,1.436653733,1.518162239,1.558024518,1.710062113,1.788514013,1.680613918,1.508233528,1.610663815,1.518368853,1.376065699,1.273659272,1.123539565,0.926801079,0.795779523,0.743971658,0.705925064,0.747649155,0.738884949,0.780957009,0.804919332,0.781559428,0.842507718,0.852228687,0.816278202,0.814562072,0.770202073,0.775007977,0.805895664,0.810706412,0.823553155,0.806900058,0.814327162,0.838105902,0.933793024,0.930268683,0.941116842,0.955928969,0.924225598,0.95471939,0.950746814,0.915703614,0.970560695,0.947883214,0.886820729,0.95181775,0.989192307,0.924758543,0.86052577
ADBE US  EQUITY,RETURN_COM_EQY,0.582248088,0.666748084,0.898376041,0.872538968,0.700328404,0.694490063,1.49385787,1.527441143,1.554922154,2.027068807,1.929562632,1.723929035,1.397560401,0.829962575,1.132439564,1.380070345,1.489112698,2.150235424,3.329715679,3.34092548,3.161814837,3.192403804,2.945916824,2.968339297,2.826642273,2.745087679,2.358623883,2.122256013,2.008238125,2.04297103,2.222720447,2.066769479,1.884991438,1.970169486,2.245518171,2.673053032,2.839084613,3.04641022,2.973343679,2.741691288,2.552102808,2.595787401,2.846821867,0.921147202,0.88552438,0.724500148,0.746530672,0.606260599,0.642964873,0.744572827,0.789949592,1.017566337,1.105654543,1.16200848,1.309472908,1.42413411,1.392317862,1.327681939,0.810351321,0.685574892,0.637092383,0.666696378,0.902273062,0.961585344,1.034091482,0.949408,0.817728989,0.754277677,0.785607271,0.774910937,0.800265569,0.714519449,0.625094308,0.551252116,0.505552756,0.488110743,0.486855861,0.476255666,0.478802433,0.511600398,0.526206604,0.570668982,0.644505529,0.725527276,0.75762282,0.779133672,0.838157553,0.889778245,0.930270487,1.005560672,1.027905294,1.10596469,1.227015416,1.273704304,1.185998894
AAP US  EQUITY,RETURN_COM_EQY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.867862664,0.870084347,1.393549786,1.147092758,1.363423695,1.44462438,1.68300689,2.197838472,2.119825027,2.137461997,2.138594481,2.087517472,1.906837634,1.928606328,2.05812264,2.034713503,1.817517879,1.627616028,1.536816936,1.431588549,1.370553417,1.423965873,1.429524897,1.484316677,1.411209644,1.528784728,1.597240155,1.753171492,1.70937523,1.624194145,1.610068707,1.711896407,1.820667478,1.812501212,1.979362803,2.297123272,2.656287916,2.68616267,2.781863517,3.117695138,3.068283733,2.637651442,2.246420978,2.010714809,2.044971878,1.820589891,1.6916602,1.64670289,1.535963242,1.517451762,1.491078537,1.46563572,1.373983029,1.214025155,1.06324268,0.993337981,0.91079225,0.86917998,0.857499979,0.768085531,0.726044988,0.699276709,0.783368514,0.779306564,0.764428076,0.743439379
AMD US  EQUITY,RETURN_COM_EQY,0.89377767,0.696047887,0.675371856,0.580448443,0.433412396,0.367686259,0.332241489,0.363105955,0.353319365,0.36344131,0.384002254,0.359008136,0.321787042,0.355520185,0.389890593,0.371342674,0.455772179,0.36547662,0.363508867,0.64213606,0.881199464,2.548224752,2.851835249,2.38673611,1.691987366,0.62933118,0.536045972,0.499580777,0.423961105,0.40704212,0.275426407,0.265154733,0.2557085,0.248956471,0.348415452,0.412005256,0.515250376,0.559279902,0.427050188,0.389206547,0.382491845,0.394082465,0.457271561,0.570980192,0.647745948,0.674107756,0.343913024,0.337371932,0.323184813,0.330135965,0.318152694,0.313468102,0.310721833,0.289899451,0.28657456,0.284260277,0.279489811,0.281302505,3.257786619,3.417054826,3.535231134,3.506901232,3.580564041,3.566057497,3.654309376,3.534502556,2.562434774,0.427852483,0.40658969,0.409526478,0.353921786,0.3747616,0.40183358,0.422066744,0.454171456,0.595718222,0.976822197,0.608848322,0.45145936,0.44023161,0.421821293,0.41396544,0.415012877,0.405036504,0.432822006,0.436206817,0.423061797,0.440209228,0.457156758,0.445023741,0.457703626,0.766223796,1.724179642,1.537188905,1.477762503
