,Dates,3/31/2000,6/30/2000,9/29/2000,12/29/2000,3/30/2001,6/29/2001,9/28/2001,12/31/2001,3/29/2002,6/28/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/30/2005,3/31/2006,6/30/2006,9/29/2006,12/29/2006,3/30/2007,6/29/2007,9/28/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/30/2011,3/30/2012,6/29/2012,9/28/2012,12/31/2012,3/29/2013,6/28/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/30/2016,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018
MMM US  EQUITY,PX_TO_BOOK_RATIO,-0.098287,-0.114897455,-0.083261197,0.198297518,0.409114499,0.485060469,0.557235168,0.643804645,0.622362961,0.954808568,0.953119405,1.396029095,1.567180821,0.956441733,0.907976114,1.246617728,0.967864504,1.178097458,0.811540188,0.307160464,0.636217229,0.229264065,0.240338664,0.270715153,0.078942067,0.242409788,0.16881417,0.346144563,0.219747625,0.335732663,0.358692013,0.1725756,0.109004472,-0.027452327,0.085507376,0.335758218,0.227594697,0.302504028,0.252787956,0.393374679,0.217596274,0.210512438,0.151855606,0.021292337,-0.010351811,-0.017510354,-0.127708923,-0.052324223,-0.113669951,-0.040880421,-0.07676467,-0.111467243,-0.126334877,-0.081489467,-0.062510514,0.12147906,0.023866898,0.089600809,0.13003356,0.147230413,0.051354744,0.006683959,-0.014755651,-0.036997939,0.039365401,0.007056108,0.107702383,0.169114469,0.160875365,0.251006973,0.247415492,0.264521133,0.101588868,0.162555589,0.210928407,0.267038855
AOS US  EQUITY,PX_TO_BOOK_RATIO,-0.641728469,-0.625506421,-0.612183452,-0.641564328,-0.787662193,-0.797587632,-0.798456709,-0.800814521,-0.775693097,-0.676995218,-0.595191691,-0.585410801,-0.559512089,-0.612581241,-0.643381267,-0.632344235,-0.709666164,-0.700298307,-0.761420117,-0.623420422,-0.733638691,-0.670264594,-0.706621049,-0.613082348,-0.362135022,-0.446769817,-0.544738764,-0.671036215,-0.648456885,-0.645828272,-0.611801684,-0.688471115,-0.646440919,-0.635290977,-0.556755043,-0.41168779,-0.598010215,-0.476742093,-0.4679634,-0.455419432,-0.612888258,-0.557266401,-0.304996099,-0.410820892,-0.385672619,-0.412650823,-0.499873035,-0.461073729,-0.458767599,-0.404275276,-0.347033848,-0.308973269,-0.293719848,-0.314840668,-0.274036684,-0.122426723,-0.272833495,-0.23432586,-0.268988261,-0.228615577,-0.191181026,-0.157863429,-0.196735478,-0.160954861,-0.170160213,-0.139480759,-0.10771233,-0.09833071,-0.092970408,-0.034788339,-0.062923225,-0.043520592,-0.091995396,-0.08935553,-0.143926552,-0.161251012
ABT US  EQUITY,PX_TO_BOOK_RATIO,-0.400661652,-0.292472792,-0.264267123,-0.261539729,-0.134887849,-0.227177567,-0.003413201,-0.116584285,-0.228592239,-0.417642099,-0.247677994,-0.323207843,-0.367733339,-0.378871199,-0.425934879,-0.505560989,-0.586783871,-0.539363238,-0.476455289,-0.476100035,-0.505657992,-0.440895619,-0.558868964,-0.611331778,-0.571078825,-0.579289158,-0.522409369,-0.503161938,-0.411703977,-0.489072057,-0.498990091,-0.525903746,-0.457818464,-0.466295765,-0.389289732,-0.228495538,-0.260439597,-0.416829859,-0.509648934,-0.544872541,-0.504793332,-0.467720479,-0.501149621,-0.596447226,-0.614521792,-0.606962913,-0.478839397,-0.500031531,-0.49778146,-0.436425709,-0.468996983,-0.490184091,-0.389103734,-0.398917846,-0.448417177,-0.48544209,-0.436760777,-0.425413204,-0.398825869,-0.317988396,-0.320066612,-0.284314974,-0.280034578,-0.264015376,-0.296789902,-0.287268747,-0.305820116,-0.309917722,-0.338925186,-0.332918553,-0.316451236,-0.290268696,-0.248911959,-0.257330067,-0.236229291,-0.199962559
ABBV US  EQUITY,PX_TO_BOOK_RATIO,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.350154015,2.624898347,2.430324525,2.364700255,2.692019023,2.135161161,2.262612595,2.603064028,4.7825779,4.941104301,0.848534675,0.625348914,0.707122669,0.670273245,0.412035065,0.570899784,0.83585476,0.780102689,0.839810149,1.052423414,1.365908882,1.327739819,1.797511129,1.855204285,2.189387513
ACN US  EQUITY,PX_TO_BOOK_RATIO,nan,nan,nan,nan,nan,nan,nan,nan,3.815346491,3.916451696,4.105581245,3.785436619,3.791421006,4.069617358,3.972266664,3.733064182,4.260227766,3.582075472,4.010994765,2.540371734,2.729449746,1.999670473,2.632485373,3.898627866,4.05948545,3.376210216,2.706181312,3.825298768,2.975178823,3.344359334,2.710432661,2.654922609,2.368481029,2.149481261,2.253082188,2.897539291,1.801667075,1.821212483,1.848742892,2.486057775,1.94489224,1.816770091,2.1528142,1.346329448,1.670062472,1.926937939,1.556661094,1.441654383,1.130925515,1.45534919,1.860654363,1.350536366,0.820717314,0.914989801,0.891104588,1.386072607,0.977306483,0.96603754,0.859356893,0.442149806,0.304460849,0.259222903,0.200038768,0.153749568,0.191332651,0.082860527,0.229670313,0.167995564,0.120949192,0.186402835,0.202227871,0.185535577,0.032602722,0.146020578,0.129112092,-0.002733904
ATVI US  EQUITY,PX_TO_BOOK_RATIO,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.428721971,-0.57982884,-0.438931599,-0.42710913,-0.508377564,-0.626654705,-0.537956784,-0.533330939,-0.571659661,-0.580867699,-0.633680037,-0.621443553,-0.509825089,-0.562883824,-0.558492868,-0.582255733,-0.639236604,-0.651810067,-0.543714948,-0.598333084,-0.543971091,-0.552515586,-0.488158854,-0.484774526,-0.484302119,-0.418961132,-0.382763583,-0.339533414,-0.270617393,-0.235005749,-0.285347966,-0.247866231,-0.241584938,-0.29064843,-0.232818197,-0.191025342,-0.153521223,-0.167545464,-0.166610987,-0.135175983,-0.131294913,-0.267507533
AYI US  EQUITY,PX_TO_BOOK_RATIO,nan,nan,nan,nan,nan,nan,nan,-0.767304696,-0.701333314,-0.606032562,-0.674955885,-0.694194627,-0.662172468,-0.583680714,-0.58644579,-0.451249788,-0.497588814,-0.444594997,-0.533974367,-0.38168577,-0.484995957,-0.490371797,-0.465669349,-0.438608886,-0.292000248,-0.245099016,-0.14774822,-0.08124815,-0.105692306,-0.095645959,-0.305715606,-0.014284624,0.003721267,0.055733005,-0.007811844,0.006876986,-0.283545101,-0.27567268,-0.290626512,-0.256304813,-0.157957407,-0.21726481,-0.094466384,0.04014324,-0.037616589,-0.094137075,-0.295367466,-0.134096482,-0.116984855,-0.222496455,-0.074842655,-0.081605454,-0.180101668,-0.131608574,-0.076980051,0.06356601,0.169295077,0.188462124,-0.023304257,-0.094796421,-0.049092061,-0.058033262,-0.083756335,-0.047406656,-0.069694589,-0.073835856,0.003003442,-0.097432906,-0.169232317,-0.110662056,-0.200228357,-0.218529581,-0.24179461,-0.289352572,-0.265788847,-0.301874043
ADBE US  EQUITY,PX_TO_BOOK_RATIO,3.183735886,4.160521995,4.010576959,3.068788506,2.922687245,4.019185351,2.288945021,2.98110638,3.782618262,2.403281617,1.71033743,2.86696742,3.791421006,2.746979729,3.280701149,2.387966763,1.853959819,2.462492725,2.643120404,2.981510044,2.947078889,1.415689883,1.370837439,2.922416581,0.199509497,0.201924752,0.462623859,0.529104148,0.480570356,0.364439514,0.696505329,0.762300861,0.683574341,0.688920937,0.777649892,0.10425244,0.101864232,0.326116244,0.393023948,0.510088509,0.250472906,0.005051015,-0.067196079,-0.047924811,-0.070888366,-0.111966363,-0.22381036,-0.239371977,-0.199301087,-0.195690862,-0.243951679,-0.191923216,-0.183495002,-0.151130043,-0.086776928,0.065350512,0.123278557,0.240520177,0.154434401,-0.049586214,-0.060692718,-0.03830741,-0.052525943,-0.065344187,-0.048108589,-0.081846143,0.040735729,-0.027062469,0.067756328,0.150714566,0.175099387,0.164851814,0.134687296,0.321727598,0.391336977,0.310208904
AAP US  EQUITY,PX_TO_BOOK_RATIO,nan,nan,nan,nan,nan,nan,nan,0.771511649,0.634200982,0.80571531,0.899644887,0.533629757,0.540128943,0.71208193,0.769089935,0.82236501,0.618735143,0.670776754,0.131323098,0.277903622,0.769144354,0.858840348,0.513973013,0.568929877,0.363862725,0.006755985,0.145779265,0.090096112,0.143659132,0.0900434,-0.182927923,0.087909366,0.048291726,0.235642492,0.303077469,0.265283669,0.536739987,0.400006565,0.086084347,0.080226937,0.035035954,0.436405675,0.639089987,0.646999808,0.511673915,0.54756646,0.815141426,0.735523263,0.880082387,0.463976339,0.374626124,0.201329259,0.158315132,0.137778862,0.020281936,0.268212741,0.348336967,0.338245923,0.17066672,0.022359452,-0.078370364,-0.09331666,-0.050305356,-0.182151368,-0.169417649,-0.190517141,-0.219945589,-0.2007541,-0.247737419,-0.313621015,-0.354916403,-0.354605951,-0.279534788,-0.292033316,-0.28018576,-0.26188101
AMD US  EQUITY,PX_TO_BOOK_RATIO,0.010713158,0.23066848,-0.250643388,-0.494991725,-0.143465746,-0.187840021,-0.766101673,-0.546393143,-0.618289954,-0.751626176,-0.81144547,-0.716488713,-0.683232284,-0.691974163,-0.424694455,-0.313244512,-0.241011523,-0.285786273,-0.430322239,-0.117155163,-0.314893601,-0.235844347,0.08550592,0.261927979,-0.014680256,-0.244919402,-0.254209697,-0.480040873,-0.653363681,-0.533910347,-0.535427352,-0.604761562,-0.576855034,-0.196959646,-0.125172372,3.354854674,4.536612371,4.011503528,3.951061484,3.022900151,1.771151607,1.436384321,1.745278766,0.762534467,0.708301077,-0.051389019,-0.257543552,-0.248370838,0.378859754,0.077058763,-0.262634792,-0.093182954,0.047290707,0.926463915,0.410664928,0.241112098,0.338225526,0.457970538,0.115602505,0.577027468,4.941104301,5.319945296,5.480561911,5.501256677,5.20387184,5.374679955,0.739348308,1.221461704,1.728302825,1.62701423,1.341544633,0.585974278,0.189163206,0.484594078,1.12400129,0.501744292
