Unnamed: 0,3/31/2000,6/30/2000,9/29/2000,12/29/2000,3/30/2001,6/29/2001,9/28/2001,12/31/2001,3/29/2002,6/28/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/30/2005,3/31/2006,6/30/2006,9/29/2006,12/29/2006,3/30/2007,6/29/2007,9/28/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/30/2011,3/30/2012,6/29/2012,9/28/2012,12/31/2012,3/29/2013,6/28/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/30/2016,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018
MMM US  EQUITY,0,-0.056635639,0.041966144,0.386218138,0.20170064,0.325969129,0.149778092,0.388378304,0.357939594,0.459349593,0.311024704,0.477023683,0,-0.002759174,0.072967617,0.326560815,0.283041112,0.416773271,0.264404144,0.303295959,0.367584719,0.160094815,0.183986756,0.25751875,0.235896857,0.326021522,0.229763965,0.295018436,0.278099681,0.459440138,0.582097976,0.433880152,0.354378308,0.19861038,0.184889758,0.006571851,-0.120826749,0.072039531,0.325896105,0.494995861,0,-0.048792553,0.050730074,0.052296581,0.146880591,0.170254516,-0.10823735,0.022409287,0.12354789,0.136261326,0.179480415,0.192820454,0.374172431,0.421571618,0.56104016,0.8424919,0.793880731,0.905622109,0.896016951,1.210827033,1.233137383,1.102177444,0.945040358,1.080196885,1.317753465,1.452052536,1.482830265,1.532026812,1.730503178,1.989034455,2.031058051,2.41609709,2.204503294,1.891169026,2.117545697,1.838418983
AOS US  EQUITY,0,0.16925734,-0.292180335,-0.029301411,0.119855875,0.033410756,0.019921386,0.143171937,0.500625335,0.848430707,0.690905842,0.61631231,0,0.055324728,0.054955404,0.326537773,0.100862371,0.214872676,-0.064280834,0.157387402,0.122670951,0.044411205,0.120935128,0.387679353,1.09528558,0.845862648,0.576237697,0.508706812,0.542038299,0.61653094,0.784961129,0.432792274,0.35078389,0.356914668,0.62770299,0.234040589,0.059294961,0.378907909,0.621073625,0.855225011,0,-0.079876986,0.109558902,0.098877011,0.283626281,0.228515577,-0.066201549,0.174451797,0.320824779,0.441425452,0.703123594,0.873060533,1.191096243,1.167916704,1.708930748,2.240391615,1.773586449,1.997734392,1.867711409,2.431283381,3.006355152,3.404824027,2.999991821,3.712398682,3.710517491,4.455403515,5.132337666,4.894162584,5.386789135,6.050792145,6.458135331,6.708497256,7.02075035,6.482255466,5.771819766,4.444034581
ABT US  EQUITY,0,0.272504455,0.363992872,0.394356369,0.364511906,0.393975744,0.512084845,0.632512298,0.546058512,0.111471231,0.201512119,0.196546693,0,0.170806029,0.144772378,0.261080481,0.118376935,0.193445981,0.248300602,0.383406541,0.390178653,0.469813397,0.278915239,0.197099559,0.29795257,0.342279588,0.504631942,0.518858983,0.750124843,0.68912997,0.701670353,0.792816159,0.770344364,0.71195846,0.872822886,0.748529906,0.574004056,0.56621791,0.661399468,0.827807955,0,-0.104524734,0.009221936,-0.066768975,-0.035730394,0.044294228,0.024154041,0.136419982,0.249412105,0.325471096,0.420589512,0.36715561,0.547240085,0.53370361,0.465170241,0.699116952,0.716698484,0.834076062,0.874952132,1.040331434,1.11099796,1.24783493,0.850942759,1.07890131,0.948824068,0.842404455,0.994352238,0.822868473,1.121212723,1.335941157,1.57823328,1.770847221,1.923038956,1.989396617,2.61175109,2.575422164
ABBV US  EQUITY,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACN US  EQUITY,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.167096774,0.441290323,0.698064516,0.6,0.772903226,0.74516129,0.741935484,0.558064516,0.462580645,0.642580645,0.884929032,0.963277419,0.849019355,1.070354839,1.437587097,1.543851613,1.830980645,1.656722581,1.402083871,1.344748387,1.71476129,1.533419355,1.220232258,0.861367742,1.2656,1.523574194,1.863670968,0,-0.070638002,0.021696881,0.17756674,0.33493209,0.478958371,0.289499022,0.31827887,0.597389688,0.503962717,0.752744706,0.683778266,0.923558333,0.84119042,0.884174092,1.131543053,1.066731003,1.120602119,1.133194557,1.374291815,1.490735086,1.600472049,1.640239635,1.838061255,2.134088285,2.106224453,2.349699787,2.244774696,2.320957828,2.461939637,2.780760093,3.326632225,3.338219496,3.66481829,3.853305905,3.057889552
ATVI US  EQUITY,0,-0.461102268,0.243533625,0.253879825,1.0155193,2.253879825,1.256565858,2.2344807,2.709510545,2.613708715,1.975825706,0.8143653,0,0.335935337,0.242539999,0.890272934,1.463267453,1.475723855,1.159608039,2.142113713,2.072579306,2.429662847,3.245584897,2.803354924,2.817195372,2.150085811,3.179815092,3.772186237,4.242761446,4.168023031,4.976305154,7.22122571,6.559652328,8.430880806,7.542324088,3.783258595,4.79084316,5.992193988,5.859325693,5.15069479,0,-0.129463189,-0.102074227,0.032365797,-0.075831246,-0.016019187,0.002512974,0.037899252,0.095550317,0.02461405,-0.036483146,-0.092456166,0.261553951,0.234713423,0.444256176,0.543825614,0.786487239,0.949052928,0.817076764,0.761144672,1.00652391,1.137640587,1.727460996,2.417931339,2.012106478,2.527470818,2.943151122,2.214159422,3.464801991,4.15520685,4.776664538,4.670104612,5.071959465,5.869431757,6.487795295,3.191689996
AYI US  EQUITY,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.364800679,0.368023749,0.968193384,0.832569975,1.085072095,0.847158609,1.485835454,1.121713316,1.030449534,1.358439355,1.541221374,2.209754029,2.134096692,2.669974555,3.219762511,3.426123834,3.912892282,3.124003393,3.429177269,3.240542833,3.760305344,3.148600509,2.482527566,1.258354538,1.825275657,2.259202714,2.619932146,0,-0.135634994,0.054459057,0.378157225,0.401048958,0.339136779,-0.132618254,0.279196325,0.519904568,0.234517026,0.538083877,0.649407497,0.692134787,0.846126545,1.252932942,1.68004811,2.253208983,2.396178796,1.894907033,2.448409803,3.143541613,3.438215983,3.332610367,4.773014965,4.389770688,5.129680383,5.544235661,4.712759035,4.051264862,4.037186742,3.246938896,3.367431039,2.456750202,1.880474003,2.911785003,1.863379143
ADBE US  EQUITY,0,0.168107397,0.395205756,0.045843643,-0.37233307,-0.154475739,-0.568388172,-0.440909011,-0.274303764,-0.486419233,-0.655590068,-0.552791085,0,0.040631072,0.278544574,0.268483006,0.276431329,0.510705004,0.607611466,1.039249577,1.183650425,0.8601789,0.940803916,1.40308723,1.272400394,0.973966087,1.435593349,1.673563624,1.711274003,1.61049431,1.838712119,1.77824178,1.314009235,1.561082234,1.566280185,0.384244657,0.390748404,0.840024223,1.148210996,1.391379223,0,-0.252757441,-0.260673855,-0.129773233,-0.062483713,-0.110829797,-0.31665382,-0.200735683,-0.029970457,-0.084817547,-0.08297971,0.065309045,0.230278227,0.288096028,0.46847561,0.692930362,0.858634679,1.045800543,0.956174446,1.055412156,1.090470953,1.290356293,1.324567491,1.655921264,1.651963057,1.708225555,2.068699442,1.910656437,2.679102697,2.998864381,3.217693158,3.954476504,5.109126369,5.893122924,6.632166535,5.396374798
AAP US  EQUITY,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.316728287,0.532918207,0.759940326,0.758643056,0.910423558,0.487513783,0.888824025,1.181552831,1.791269378,1.508918726,1.818966076,1.704806383,0.880262048,1.146980606,1.321593047,1.520659013,1.654018291,1.201465914,1.495946034,1.241227217,1.559641954,1.618473114,1.225984303,1.721606019,1.752740481,1.610170591,1.693844457,0,0.198458216,0.402883879,0.582882485,0.571644182,0.402303388,0.394362273,0.672533494,1.128915411,0.641186988,0.647943901,0.743539137,0.993243086,0.958947686,0.996865349,1.674600042,2.058350942,2.263496413,2.153156709,2.855875729,2.62516544,2.859126477,3.593284882,2.649104883,2.888917268,2.921726612,2.619685606,3.106578122,2.601481413,1.83356166,1.412473588,1.425848097,1.886339889,2.305291755,3.101539462,2.838182367
AMD US  EQUITY,0,0.309321847,-0.186440333,-0.53177941,-0.100338551,-0.020340178,-0.723730094,-0.462374738,-0.501357254,-0.67050742,-0.818981907,-0.78101606,0,0.03722277,0.797725545,1.411003446,1.626203148,1.572819774,1.103563745,2.56309753,1.60840869,1.805830111,3.07766472,3.951453484,4.365692285,2.951453484,3.021029814,2.292880599,1.113269813,1.313910413,1.135917304,0.213598201,-0.046928838,-0.056634906,-0.150492583,-0.650484495,-0.5064788,-0.373780675,-0.084135432,0.566349063,0,-0.210353195,-0.233011593,-0.117584255,-0.072267458,-0.245953087,-0.451992451,-0.417471016,-0.134839579,-0.381871124,-0.636462658,-0.741094635,-0.724917768,-0.559870585,-0.58899973,-0.582518199,-0.56741979,-0.548007549,-0.632148827,-0.711976274,-0.710897816,-0.741094635,-0.814451335,-0.690396333,-0.692553249,-0.445521704,-0.25458075,0.223305473,0.56958749,0.346282017,0.375411162,0.108956592,0.084152063,0.617050418,2.33227285,0.991383122
