,Dates,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/30/2000,12/31/2000,3/31/2001,6/30/2001,9/30/2001,12/31/2001,3/31/2002,6/30/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/31/2005,3/31/2006,6/30/2006,9/30/2006,12/31/2006,3/31/2007,6/30/2007,9/30/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,
MMM US  EQUITY,TOT_DEBT_TO_TOT_EQY,28.5303,28.2746,27.4874,27.4774,29.516,31.7077,29.5629,31.7832,33.5801,27.1347,39.9873,45.518,49.7684,53.0591,49.099,45.5688,37.2752,34.3799,39.1892,40.6295,47.7036,43.0946,41.2535,50.3167,54.3375,48.8647,43.7472,47.9007,41.442,44.2421,53.714,52.5491,43.4364,39.8641,36.1922,34.8599,31.4651,30.6003,26.5356,28.2604,17.9109,31.9118,22.2399,23.9694,23.5289,34.5989,34.7074,45.7728,43.1756,47.6664,40.7555,49.7145,47.9298,57.6674,65.198,59.501,54.1841,47.4108,42.9259,41.7154,39.8023,36.3671,34.0388,33.2741,31.5635,35.3722,32.5684,31.133,37.3792,35.0477,33.265,32.038,32.4581,31.6513,33.4801,36.6938,39.0732,45.3165,51.8262,47.2405,64.8667,92.0566,91.9128,94.6068,98.4251,102.5979,112.6366,106.0779,97.0543,95.5827,120.0224,141.8607,139.2309,143.9822,148.4768,
AOS US  EQUITY,TOT_DEBT_TO_TOT_EQY,49.2538,48.9536,52.602,55.2973,50.9036,58.2589,58.9626,123.0288,24.9113,24.7869,26.6602,27.7135,26.919,33.465,33.8655,33.4916,32.5278,81.4433,83.7145,84.8179,77.623,71.7311,73.0385,67.7778,61.8144,59.8524,90.0546,84.1231,42.0679,37.7905,49.0664,50.7831,51.1692,48.9602,47.8133,48.65,48.4833,49.3064,47.5957,44.2189,39.0574,33.8312,27.6228,31.4123,77.2707,74.6894,64.125,66.0998,62.5725,57.6544,52.151,54.4043,46.4164,42.2319,52.2227,53.1198,41.6998,31.0266,32.0587,34.9257,29.675,32.0919,29.612,36.8587,38.7193,35.1491,42.5124,27.9828,24.5811,23.4682,20.4087,18.5401,16.6574,18.1862,14.4427,16.8974,18.4565,18.5064,16.2021,21.6284,19.464,18.3352,17.2641,19.4319,19.045,22.0372,21.3555,23.5827,23.2447,26.9944,24.8908,17.1623,14.3386,11.0067,12.8946,
ABT US  EQUITY,TOT_DEBT_TO_TOT_EQY,29.82,32.0967,33.7756,24.2914,45.3394,45.2635,48.0609,43.9264,48.4857,53.2244,54.4011,47.2646,51.1625,51.3746,53.8592,43.316,36.0356,33.1234,30.0644,28.3971,20.5514,19.5262,18.1524,86.9584,88.2505,83.6618,80.4557,73.0526,68.6807,65.7702,60.2241,56.8928,51.6658,55.8582,45.8198,49.4733,54.3186,50.8027,47.3316,50.6155,39.8905,46.1501,46.0173,43.5712,68.6607,60.4176,88.3077,87.1326,80.3882,78.4353,68.6991,73.5392,73.2415,54.6086,65.4782,87.3832,78.8318,73.2373,70.9692,82.4619,92.43,87.1261,83.102,75.9788,68.8301,67.7279,62.8496,65.1711,73.6068,60.0628,76.3659,31.3113,35.3784,34.7359,25.9667,33.058,31.0707,36.1023,36.1847,40.4903,37.8838,39.3751,42.2067,41.2149,42.8565,40.7255,106.2219,75.9945,75.5977,74.5701,89.7936,69.2731,67.1671,76.2444,63.6873,
ABBV US  EQUITY,TOT_DEBT_TO_TOT_EQY,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.4023,0,0,0,466.0125,508.5222,414.7836,404.2494,327.7605,306.7064,282.5029,318.4499,859.7589,1109.1503,565.4615,660.6416,802.8137,687.3358,671.0106,576.7507,794.6937,739.3157,619.6871,565.2011,733.1371,1049.4512,1049.4512,1049.4512,1049.4512,
ACN US  EQUITY,TOT_DEBT_TO_TOT_EQY,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17.4878,17.4878,27.7866,25.3434,19.8855,9.3602,6.9442,4.9088,4.596,4.4735,3.5831,2.6499,2.451,1.9015,2.8546,1.3963,2.6673,2.5048,2.8078,3.0204,3.0019,2.2882,1.8774,1.2865,1.0855,1.0885,0.9402,0.3198,0.3277,0.2108,0.2593,0.0939,0.0533,0.0459,0.0275,0.0781,0.0118,0.0223,0.0485,0.1016,0.1124,0.1106,0.1016,0.1513,0.1172,0.1183,0.0007,0.0006,0.0005,0,0.4716,0.479,0.4578,0.434,0.4253,0.4453,0.4157,0.4209,0.4127,0.4317,0.3886,0.3747,0.3325,0.3402,0.3191,0.3118,0.2582,0.2548,0.2763,0.2836,0.2332,0.1886,
ATVI US  EQUITY,TOT_DEBT_TO_TOT_EQY,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.214,70.8698,62.3917,60.2566,61.8135,59.7816,56.3001,52.2625,51.0452,50.4958,69.9689,58.838,72.1479,53.5914,46.5557,45.157,44.0253,46.3961,44.7296,42.4705,25.0493,23.5185,,,,
AYI US  EQUITY,TOT_DEBT_TO_TOT_EQY,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,170.851,160.3357,147.3412,135.1209,134.1408,127.2321,115.3793,109.188,106.6223,100.7814,96.5018,82.7908,82.6709,82.3533,75.934,68.7168,66.8023,68.7675,70.6632,68.5825,66.2024,62.8946,58.1006,76.2924,69.1576,69.0899,64.3651,74.9547,64.007,35.1063,44.7606,34.4392,33.0308,50.5509,49.2816,50.8785,48.9,47.246,45.3659,46.6843,46.1719,44.4416,43.1624,42.3861,40.8151,39.6879,38.3156,35.5913,34.0131,32.7589,31.4367,30.245,29.2062,28.2598,26.924,25.9118,24.5592,23.6842,22.3188,21.4002,20.5768,19.7307,23.2348,21.4277,20.6767,21.8181,22.3694,20.7829,20.3724,
ADBE US  EQUITY,TOT_DEBT_TO_TOT_EQY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7982,8.662,8.0065,7.9359,7.5903,7.2901,7.4554,20.4475,28.8808,28.8419,29.9802,29.9106,28.0247,28.1743,27.2537,26.185,25.2612,24.7571,23.4671,22.6274,22.5031,22.0236,22.2368,22.5138,22.837,22.6958,22.4067,22.3485,28.8604,28.8101,27.8614,27.24,27.0693,26.4656,26.3342,25.4847,24.8274,24.1978,23.1226,22.2394,21.714,21.5271,21.154,44.0584,
AAP US  EQUITY,TOT_DEBT_TO_TOT_EQY,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,309.3343,309.3343,343.2379,225.5119,181.2681,169.3957,157.2289,140.0997,101.7527,80.4173,75.4201,59.072,45.6084,50.729,67.8629,63.6828,55.1128,51.5247,53.1621,48.1665,50.2322,49.2315,49.6138,36.6667,30.2115,40.8098,52.3222,58.5255,43.6108,44.555,44.3422,24.4184,22.1417,21.6204,15.9292,25.148,28.3491,26.4631,29.039,48.8475,74.1106,77.2077,49.0597,61.3752,56.6949,52.3103,49.9786,47.6174,44.1932,41.2207,69.4882,124.359,102.974,90.1444,81.7257,75.0155,63.5017,53.6119,49.0479,46.8019,42.5664,36.5234,35.7746,35.5161,33.3765,32.3252,30.5891,29.4578,28.575,28.5714,29.4561
AMD US  EQUITY,TOT_DEBT_TO_TOT_EQY,14.5592,13.5256,13.4783,12.2073,11.6609,23.8676,24.0961,35.5612,34.5905,35.3503,36.2473,39.0032,66.2436,78.6972,76.008,91.8272,80.4057,78.0721,74.5177,70.1327,63.7563,44.6882,40.9104,48.1132,25.6505,27.2257,28.2596,39.5401,42.9455,47.9174,78.6914,81.7545,72.9084,69.5286,65.049,64.8638,61.6015,60.6093,48.2795,50.2317,51.911,53.5655,38.2034,13.2863,13.5213,13.0437,62.5021,69.7349,116.2259,120.3474,161.874,187.0842,316.356,339.498,1613.5135,615.2268,906.6129,1121.063,274.42,346.4824,343.0851,372.7838,237.3529,143.1322,134.0037,118.1193,126.7925,191.9202,180.9311,206.269,379.5539,492.5301,570.195,472.1198,378.3088,418.3953,441.1178,412.7103,1182.8877,13341.1765,13341.1765,13341.1765,13341.1765,13341.1765,13341.1765,423.8961,344.9519,344.2543,339.8082,274.2308,234.0604,194.1259,158.4755,115.8222,98.7362,
