,Date,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/29/2000,12/29/2000,3/30/2001,6/29/2001,9/28/2001,12/31/2001,3/29/2002,6/28/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/30/2005,3/31/2006,6/30/2006,9/29/2006,12/29/2006,3/30/2007,6/29/2007,9/28/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/30/2011,3/30/2012,6/29/2012,9/28/2012,12/31/2012,3/29/2013,6/28/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/30/2016,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018,
MMM US  EQUITY,HISTORICAL_MARKET_CAP,24109.7216,23657.543,27791.4118,27053.9641,28922.5225,29155.0126,34597.3879,35224.6475,42482.3194,37776.2482,33212.7458,36812.3215,33193.7224,29574.184,28586.8453,28486.7092,35013.8173,38553.1474,39023.8391,35053.8346,32809.236,35942.7982,47728.2425,41135.4646,44969.6625,38581.164,46256.0458,44778.9135,47971.845,42909.8211,48111.1668,50820.145,50496.0569,54211.8688,66673.4685,64031.6732,70451.097,62259.364,63482.6453,65944.4709,55314.7048,55748.6457,58476.725,57065.0889,60838.772,54800.366,57228.8932,55045.2445,62125.2994,66743.9673,59796.0365,55744.3557,48642.7421,47335.7586,39906.4807,34524.7677,41969.0718,52247.3202,58745.2292,59591.0984,56330.4806,61985.4311,61443.6676,66438.9832,67299.4641,50313.6396,56799.9015,61900.3254,61942.2239,63948.2887,63796.4597,73374.5901,74737.2305,80395.1324,93027.2975,88759.4141,92815.1006,90791.2135,104365.3165,104634.5438,96398.2166,87289.6231,91789.4899,101063.5161,105842.579,105996.4238,106557.4115,114269.8481,124240.9523,125018.1419,140017.9029,130327.3297,115398.603,122693.7222,109860.6325,
AOS US  EQUITY,HISTORICAL_MARKET_CAP,490.7411,541.1239,431.862,494.9233,523.7602,516.7468,621.9605,664.9935,621.8055,673.1742,673.1337,702.374,904.3599,456.0173,573.7669,444.963,623.5412,705.5038,506.4622,421.4148,482.965,293.5144,392.5764,452.5439,425.938,419.1073,445.1018,620.9831,885.4838,822.9536,767.1639,737.4306,806.1048,843.263,1000.4753,834.555,928.9804,706.558,888.6834,841.0489,804.3314,853.3116,1146.3112,1607.7548,1398.4351,1213.647,1148.9338,1167.0804,1236.2197,1385.8966,1140.8586,1069.9008,1069.9909,1180.3635,960.8601,507.0996,982.1682,1234.6899,1382.2974,1069.5424,1561.6722,1876.0331,1815.5367,2048.1712,2016.7333,1527.0914,1912.7976,2143.0771,2330.9437,2743.3295,3006.9828,3507.0163,3459.4367,3829.0737,5143.3838,4388.1817,4727.6412,4508.3275,5378.9076,6260.9302,6863.5662,5738.0406,7305.0543,7276.4482,8401.623,8590.4432,9030.0045,9756.6004,10742.5587,10217.7718,11686.5612,12127.0958,11280.3542,10178.0643,8143.2143,
ABT US  EQUITY,HISTORICAL_MARKET_CAP,32199.6877,33765.478,32771.6542,31994.1696,33988.2912,38301.9721,39303.2855,43391.1371,79489.1788,48971.0401,50048.1566,57490.2107,62425.7381,65966.6203,75002.9614,71123.7761,69022.2266,55835.9925,56176.1494,54510.1391,69068.7556,73551.9807,74881.1781,73062.1534,74443.536,80483.4885,86665.0638,82088.2964,58814.2322,63126.6564,62522.72,58707.9689,68377.5818,66520.6702,72906.5388,64102.6836,63632.7593,65971.1251,72775.1018,72292.5641,76181.9149,65772.0815,60692.0352,64818.4572,66627.6648,74532.9872,74879.1146,85952.07,82758.9951,82857.5124,87027.4544,85112.7893,81655.7385,89340.1017,82853.3455,73718.3817,72719.7213,76517.1499,83747.5381,81315.0073,72229.6636,80753.426,74116.0009,76059.3934,81907.0572,79665.6659,88302.401,96433.163,102596.8659,109836.473,103271.7207,55059.0997,55204.4449,52563.5339,59338.6073,59762.3604,63539.5817,62625.8305,67891.7552,68974.1265,73150.8671,59996.974,66137.3875,61454.6295,57785.5198,62263.9697,56572.9062,77063.4319,84457.1171,92878.4527,99507.3929,105051.0109,106995.9331,128844.5912,126983.9528,
ABBV US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,53881.7325,64584.4733,65541.6235,71020.5801,83828.5113,81729.416,89835.4986,92027.0084,104140.5178,93258.6747,111218.0172,88946.5798,95370.0575,92383.5236,100823.0574,102482.922,99723.1468,103693.4067,115560.7005,141831.5068,153974.9914,150187.7776,140283.9507,142263.4822,136332.8213,
ACN US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13900.1058,22647.5277,24511.3951,19955.9634,15387.2451,17857.9873,14414.9575,16436.0708,19780.4569,23409.4385,21392.0607,24719.3916,24479.7092,24370.0236,24753.3111,20767.0274,22538.4949,25287.8292,27597.8625,23395.9286,24546.0749,27525.2427,27916.1914,31291.8614,31342.3046,26178.0539,26247.8855,30171.2831,30325.7016,22391.908,21009.8009,21407.9079,23590.8785,29283.6163,29050.8399,26458.9761,25254.8659,29925.4294,36149.7634,40013.264,37743.4384,40119.7861,41155.6528,39078.4176,41690.3029,46278.1439,50689.6027,55577.6794,48147.0674,51395.8941,55203.7588,53762.4771,53223.6775,56456.1708,58816.3605,62487.7559,61282.7084,69537.6232,64839.9691,76708.5824,73902.4763,76693.7505,78537.149,79504.2842,83180.1445,94027.5822,102640.6257,99915.5103,108159.1509,104968.0239,
ATVI US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20423.5877,11337.7429,13456.9905,16999.98,16800.84,13892.2904,16472.35,14371.3,14888.32,14720.499,12652.5092,13338.56,13601.7,13963.3817,14282.9818,13319.333,12539.5756,11805.2566,16273.436,15957.1608,18741.1375,12547.1306,14609.9087,15982.4456,14947.1601,14546.8785,16496.1772,17645.9429,22578.8526,28432.5983,24974.1661,29376.6464,32920.1373,26919.5211,37572.1024,43454.9682,48773.2258,47965.2289,51328.1787,58168.4978,63473.058,35552.3539,,,,
AYI US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,561.8296,586.6162,698.7643,579.306,562.728,551.6308,687.9201,746.3992,996.5961,1039.4293,1047.4582,980.1343,1269.8456,1206.5418,1085.7265,1328.1625,1415.042,1765.208,1756.67,1840.0609,2268.7701,2404.1939,2648.5648,2275.7504,1634.715,1807.849,2164.538,1749.1763,1089.3046,924.1281,1150.6952,1362.5282,1376.0564,1669.0094,1766.7213,1631.5922,2286.6861,2408.0195,2600.0036,1910.1481,2083.8113,2594.2948,2274.5883,2681.1888,2794.3215,2880.5932,3177.9999,3632.611,4375.4548,6041.0288,5377.6092,5309.8266,5957.1693,6843.9062,7623.6222,8438.851,10045.6181,9113.7318,11292.4496,12032.7116,11017.6825,9261.7701,6817.3339,7402.5222,7190.1546,5811.237,4726.2378,6112.1691,5182.5298,
ADBE US  EQUITY,HISTORICAL_MARKET_CAP,3293.8881,3139.0971,4879.878,2392.1302,2693.1588,2513.5807,2823.3019,2612.4874,3252.3145,2856.1445,2888.13,2934.492,2681.9629,1786.4906,2854.2656,2817.8531,4399.1741,6368.2502,7905.0697,10850.5316,15022.3751,16260.6381,16218.6776,6621.3827,9693.1011,7972.0232,7571.4894,9171.5567,8664.6858,4749.0673,6849.6312,6375.9574,8198.6194,9086.6857,9844.1731,8704.4239,10890.8075,11103.3143,18621.3014,15591.6102,15996.3246,13163.5586,20685.7342,23379.9819,16796.1936,18859.5063,23107.3431,22732.32,26203.1224,25685.6535,25319.1448,18200.3091,23360.3476,22763.0743,12184.7308,8752.3865,14781.2554,16647.6204,18491.6047,18486.4951,16588.2108,15130.0509,14625.2786,17810.8915,16427.495,11901.2649,13325.6494,16727.6514,14730.6923,15470.2696,17101.9085,19956.6224,21585.9613,22957.6245,28177.6996,34212.1236,32092.3214,35849.2681,36654.6211,39553.7968,39408.6488,39597.177,45883.0555,43149.7227,49248.5364,51476.8792,49291.9514,59435.4052,70782.1275,76425.0424,88191.3542,103401.2952,123251.2199,128858.2346,122349.7701,
AAP US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1538.1586,1749.25,1730.1092,1900.9933,1756.0179,1732.2621,2329.9279,2731.044,3007.8177,3279.5662,3062.0603,2586.4335,3155.6616,3658.605,4744.1048,4228.6143,4702.2851,4162.8832,3049.3452,3635.9885,3746.2816,4327.1664,4257.0876,3586.9456,3781.1202,3318.9374,3510.4225,3479.4165,3238.2473,4059.9533,4318.5734,3641.6856,3789.859,4004.7457,4323.2387,4919.1368,5421.3894,5171.1291,4110.2553,4277.0347,5068.9944,6667.1555,5250.07,5126.0824,5247.6183,5831.5329,6021.2694,6055.628,8006.5728,8814.9155,9726.971,9863.6792,11586.6134,10873.4965,12422.7188,13879.3077,11034.4901,11649.3696,12115.9637,10910.2189,12472.4309,10842.6656,7536.9385,6987.4547,7370.6798,7699.5108,10322.4825,12087.9654,11264.6316
AMD US  EQUITY,HISTORICAL_MARKET_CAP,3787.6781,3036.8637,2181.0031,2343.2795,1842.1409,2014.0092,3594.2776,5752.0949,5038.1043,4589.836,2496.0352,3539.3299,2553.4495,2958.8346,4073.3561,2345.3573,2539.3897,2576.7394,4255.2782,9038.3281,12031.3009,7521.8877,4339.0172,8386.4545,9986.4238,2769.59,5577.439,5021.8471,3327.0277,1971.5413,2187.7529,2150.4779,2213.3178,3781.9858,5148.719,5462.1257,5492.3939,4419.4956,8665.2589,6362.6303,6805.029,9237.134,13283.5649,17464.9062,11857.4633,12104.9414,11131.45,7183,7907.9,7326,4435.92,3581.46,3611.65,3142.44,1327.62,2247.79,2418.16,3911.93,6649.61,6070.46,5452.66,4658.04,5491.32,5743.32,4913.01,3540.76,3769.2,5614,4051.11,2399.44,1625.64,1820.7,2937.6,2790.78,2740.5,2956.56,3144.15,2790,2056.4,2116.16,1924.13,1350.9,2312.64,2212.47,3879.6,6065.3,10602.9,13706.1,11818.56,12303.75,9940.76,9738.45,14615.25,30859.11,17909.1,
