,Dates,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/29/2000,12/29/2000,3/30/2001,6/29/2001,9/28/2001,12/31/2001,3/29/2002,6/28/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/30/2005,3/31/2006,6/30/2006,9/29/2006,12/29/2006,3/30/2007,6/29/2007,9/28/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/30/2011,3/30/2012,6/29/2012,9/28/2012,12/31/2012,3/29/2013,6/28/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/30/2016,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018,
MMM US  EQUITY,NET_OPERATING_ASSETS,8786,8775,8620,8175,7077,7506,7881,7682,7969,7512,8324,8322,8648,8625,8984,8338,7999,8070,8829,8526,9051,8888,9412,9155,8881,8740,8890,8287,8359,8761,9046,9074,9002,9222,8986,9107,8804,9157,10442,10529,10144,11669,12015,12327,12924,13542,11706,11844,12261,12944,14037,14663,15766,15618,14448,14043,14020,14589,14403,14442,14403,15295,16451,18114,18411,18266,16452,17299,17246,18081,18348,18636,18471,19171,19167,20327,20606,19749,16602,17721,18149,21706,20619,21385,21807,21729,19298,20420,20134,20431,21442,22604,21761,21634,21237,
AOS US  EQUITY,NET_OPERATING_ASSETS,511.486,516.483,563.428,614.692,601.724,642.469,668.612,881.205,336.112,351.69,360.371,383.742,398.951,498.504,499.2596,525.174,521.753,767.402,777.203,812.118,802.724,784.646,760.609,746.484,736.151,718.364,838.056,836.4371,833.085,813.082,728.96,759.65,792.7,781.2,833,872.8,869.8,871.5,846.6,856.8,831.9,771.8,758.2,792.7,1127.7,1134.7,1097.8,1150.9,1147.9,1130.5,1115.8,1176.9,1176.4,1142.4,946.5,968.8,943.5,909.7,966.7,1027.4,975.3,1029.4,1023.5,1137.5,1237.1,923.1,921.6,1031.8,1002.7,988.8,974.9,1013.4,1001.9,1003.6,1034.6,1097.9,1110.5,1106,1063.2,1134.1,1163.7,1076.8,1046.1,1125,1095.5,1183,1084.3,1213.5,1247.9,1347.7,1239.2,1321.9,1320,1331.7,1293.4,
ABT US  EQUITY,NET_OPERATING_ASSETS,5197.6752,5233.9258,5566.2112,5542.7704,6566.7988,6668.5086,7013.7229,6837.0756,7185.7996,7253.9872,7459.0027,7276.975,7703.6719,7860.6739,8441.366,8291.346,8357.95,8248.4888,8937.355,9334.083,8882.152,8969.3582,8970.016,14384.503,15226.412,15134.491,15634.72,15352.33,15977.344,16470.207,16121.051,16551.902,16863.569,16738.894,17775.521,18143.02,17369.353,17625.724,19047.438,19539.071,18584.2,17917.772,18092.692,18330.098,24515.139,24027.599,25091.676,25153.903,25423.926,25301.52,27171.417,27564.959,27666.235,26143.86,23845.228,27993.598,28735.473,28333.884,29711.262,36517.436,34102.905,36349.826,36231.964,37000.261,35795.315,33433.798,31843.363,32663.813,31657.362,31879.45,32115,21268.388,20968.591,23445.392,23730,24207,24007,26417,25009,21042,20710,20397,24175,25475,25269,21953,23907,46661,45984,45044,49326,49367,48180,46906,46161,
ABBV US  EQUITY,NET_OPERATING_ASSETS,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11327,12007.778,11430.538,11083.231,11059,10515,9562,8441,9320,10003,9713,11709,8345,8726,28348,27741,27209,27956,35483,35829,35055,35701,36041,34928,32676,31366,29991,28802,23803,
ACN US  EQUITY,NET_OPERATING_ASSETS,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,926.4929,-1417.066,-998.2099,-27.5731,-319.1502,56.0311,-292.4268,-155.4029,-343.7779,-354.465,-594.2496,-395.0248,-822.6669,-599.1672,-356.601,39.3136,-297.21,-268.855,-194.389,-134.504,-545.829,-733.457,-605.949,-250.296,-417.464,-756.245,-715.796,35.514,138.388,-159.784,-422.089,-188.211,-82.84,-402.715,-1074.827,-688.653,-680.766,-858.034,-1564.968,-1350.716,-630.414,-1080.296,-1350.716,-870.978,-572.854,-1037.374,-2018.326,-687.237,303.41,-130.511,-180.981,912.412,2130.196,2120.425,1388.163,1568.348,2512.848,2464.877,2311.792,3357.146,4364.687,4234.684,3308.122,3981.917,5401.275,5519.487,5605.399,6236.249,6868.766,6249.428,5685.049,8713.285,
ATVI US  EQUITY,NET_OPERATING_ASSETS,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8839,8525,8418,8701,8571,7511,7526,8012,7897,6695,6878,7521,7670,6967,7010,7372,7519,6942,6917,7389,9811,6872,6957,7288,7486,6699,6843,7357,7548,10319,11317,11316,11151,10761,10581,10824,10779,9139,8994,9883,10021,9803,,,,
AYI US  EQUITY,NET_OPERATING_ASSETS,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1004.958,987.163,965.24,942.379,944.624,918.546,912.495,838.049,858.518,864.079,865.183,859.563,910.735,888.06,861.08,815.563,824.304,843.173,827.124,825.506,831.039,839.52,832.825,970.951,688.361,705.556,713.008,709.849,667.931,712.647,925.031,885,875.2,896.4,875.7,856.7,923.9,975.9,971.6,940.2,946.1,968,944.2,903,952.1,981.4,974.2,988,995.1,1024.8,1011.1,962.9,981.3,1004.2,1015.3,955.6,1227.1,1622.8,1605.3,1601.8,1634.9,1697.7,1702.2,1711.4,1654.4,1762.9,1864.1,1944.5,1892.8,
ADBE US  EQUITY,NET_OPERATING_ASSETS,126.111,136.871,182.377,196.739,230.832,136.562,142.398,170.921,199.672,184.8141,212.468,255.766,255.766,235.718,243.818,281.633,248.02,97.4,13.493,-5.102,58.333,45.461,72.691,122.518,94.804,94.052,35.359,68.721,108.571,123.924,56.584,44.776,24.3149,11.046,4.267,-31.8511,-18.9671,85.984,110.256,157.462,179.337,187.366,163.492,2972.007,2942.521,2927.367,2870.997,2825.675,2871.887,2777.286,2656.128,2548.906,2525.921,2720.538,2741.152,2577.466,2486.856,2488.097,3986.095,3992.582,4027.684,4031.034,4277.447,4309.025,4282.326,4361.067,4385.729,4732.395,4611.623,4702.304,4634.984,4676.058,4587.237,5190.653,5064.855,4988.519,4812.97,4719.319,4550.729,5313.818,5101.231,5078.693,4920.727,4900.145,4848.592,4748.139,4555.735,4825.147,4760.883,4691.166,4521.516,4360.852,4245.576,5792.109,10257.952,
AAP US  EQUITY,NET_OPERATING_ASSETS,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,714.558,714.558,1260.939,1209.0661,1161.1669,1172.1159,1190.862,1142.497,1045.366,1027.751,1095.842,1082.9671,1086.44,1121.938,1156.178,1111.463,1174.24,1270.806,1367.958,1336.682,1388.683,1464.082,1531.172,1510.895,1495.549,1485.338,1544.813,1487.915,1472.081,1507.378,1514.56,1416.993,1416.366,1355.797,1386.618,1255.085,1207.961,1249.755,1281.989,1261.972,1261.869,1312.084,1205.997,1215.213,1210.963,1268.344,1217.671,1467.677,1453.005,1505.604,1457.318,3655.878,3615.568,3571.565,3535.134,3633.041,3628.228,3601.427,3576.761,3755.917,3814.176,3779.232,3824.269,3971.48,3915.155,3911.843,3912.936,3952.233,3800.958,3735.239,3700.216
AMD US  EQUITY,NET_OPERATING_ASSETS,1683.5379,1800.811,1876.1741,1971.6811,2031.2359,2161.416,2122.8729,2141.6539,2270.6629,2325.0311,2298.165,2425.598,2496.86,2867.8032,2832.0208,3105.11,2889.0198,3039.7511,2857.6703,2820.966,2920.9541,2964.2181,3176.0449,3257.5747,3717.9391,3715.7621,3689.7012,3620.5799,3920.885,3928.3159,3371.0862,3492.8218,3209.1812,3999.4773,3935.5233,3912.8841,4090.4769,4228.7119,4514.231,4508.332,4329.014,4418.53,3321.305,3147.337,3281.871,3617.015,8331,8182,8707,8240,6635,6360,5357,5313,3976,3904,3727,3692,3779,1622,1436,1314,1652,2043,1979,1947,1692,1358,1379,1549,1397,1276,1289,1302,1415,1667,1763,1805,1359,1379,1299,1169,1040,1017,868,759,587,874,990,1067,806,1058,1289,1372,1360,
