Unnamed: 0,Dates,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/29/2000,12/29/2000,3/30/2001,6/29/2001,9/28/2001,12/31/2001,3/29/2002,6/28/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/30/2005,3/31/2006,6/30/2006,9/29/2006,12/29/2006,3/30/2007,6/29/2007,9/28/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/30/2011,3/30/2012,6/29/2012,9/28/2012,12/31/2012,3/29/2013,6/28/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/30/2016,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018
MMM US  EQUITY,PX_LAST,1.775801081,1.763686964,2.203488796,2.13270256,2.625990317,2.682602922,3.208007748,3.311795803,3.945973536,3.542967185,3.342985931,3.674600719,3.315202138,3.055673028,2.948202316,2.943216006,3.520408163,3.77797379,3.894784891,3.53818329,3.247993698,3.571901272,4.703798942,4.112027206,4.778051073,4.09215195,4.996270864,4.931238486,4.994253717,4.311122598,5.384074484,5.424618203,4.920967306,4.91636873,5.782078183,5.429241731,5.747022184,4.96190587,4.258157805,4.483475555,3.852545942,3.849645138,4.00171305,3.717376986,3.800035302,3.614189647,4.186072234,4.013495799,4.45843583,4.509583377,3.795216362,3.363370167,2.930351865,2.950383934,3.096513334,2.747869495,3.03697479,3.328598349,3.647751123,3.504373239,3.236792405,3.229728608,3.188874191,3.294100922,3.194510408,2.455639632,3.072065982,3.211827814,3.19205778,3.083734647,3.108980875,3.49693111,3.623464909,3.936978382,4.654822181,4.484297366,4.743504057,5.008598146,7.141237518,6.785950327,6.687264104,6.551332124,7.217465976,7.987025071,8.306468825,8.295029717,9.78108069,9.893422175,10.25897132,9.908152957,11.71519853,11.55424189,10.90892627,11.80958658,11.13784579
AOS US  EQUITY,PX_LAST,0.916322314,1.002363812,0.761957731,0.841351075,0.862849909,0.846220877,0.989836226,1.13195796,0.952379261,1.405259956,1.158308114,1.25107037,1.428622914,0.804877182,0.993449477,0.758555784,0.684842922,0.73312334,0.842667361,0.680390101,0.770807052,0.292448645,0.662936394,0.74964847,0.679391187,0.681428349,0.775830931,0.986826347,1.124133818,1.024929964,1.180190931,1.153106534,1.164021333,1.164413767,1.395297844,1.131839019,1.241749785,0.955583156,1.204605045,1.148702299,1.07082851,1.134697107,1.42692113,2.237593148,1.881589044,1.591394078,1.401263951,1.394819548,1.422058074,1.542513262,1.275140457,1.149677133,1.031315332,1.235308333,1.298778445,0.668187959,1.225242369,1.457798714,1.589583333,1.187978741,1.154952694,1.996724337,1.854815328,2.007014731,1.884726565,1.236488322,1.609519628,1.723108302,1.852709603,2.127543099,2.334541796,2.638613709,2.567981058,2.859598815,3.629750832,3.072938404,3.288684285,3.103522396,3.697004004,4.243586959,4.563451709,3.863341584,4.8630684,4.742128549,5.483745911,5.455906158,5.78934518,6.068569202,6.503249976,6.007245031,6.958360804,6.987597955,6.435881893,5.738817883,4.720902336
ABT US  EQUITY,PX_LAST,1.963050403,2.053982957,1.948895176,1.841484386,1.935984644,2.159897053,2.178116967,2.39775839,4.341003377,2.738034229,2.722011617,3.051665776,3.221275986,3.375035325,3.596663918,3.24746247,2.976613437,2.334246075,2.117762226,1.948058081,2.386535366,2.513058036,2.491288193,2.583534044,2.502111157,2.681590348,2.774820687,2.53041668,1.739254064,1.762474074,1.736530457,1.538312651,1.723640472,1.690313995,1.691257256,1.446614493,1.627683918,1.681448801,1.687992072,1.703745023,1.78010873,1.558245511,1.43199291,1.536569901,1.512727126,1.654685582,1.860935193,2.108928571,1.907035809,1.887373027,1.750852171,1.702388821,1.559291301,1.682463809,1.739357876,1.518522347,1.364473408,1.349633163,1.372672681,1.489551731,1.397824115,1.467312803,1.281662085,1.22222572,1.240583712,1.305445106,1.470070038,1.55478563,1.73416866,1.696031977,1.623927589,2.149445832,2.187703274,1.971435064,2.104020468,2.293142342,2.430544219,2.483559211,2.877954631,2.892552815,2.931443933,2.633015595,2.905589769,2.781016257,2.636920802,2.844882079,2.631438161,2.362569993,2.585288749,2.820434934,3.14805702,3.285934438,3.453280626,4.159749234,4.140925431
ABBV US  EQUITY,PX_LAST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.76187796,17.60446682,14.98484984,16.29952506,15.4581434,14.527522,14.50263856,16.81587432,51.12177965,58.34509486,17.55309615,16.00611806,21.35082636,17.75793361,16.10750173,14.39993972,19.73254096,19.22393097,17.99687036,20.0270438,28.72259012,40.48028226,-40.21677882,-47.60548947,-15.94610684
ACN US  EQUITY,PX_LAST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.02851324,29.68614762,24.89395307,23.614509,19.69671053,18.85685375,21.25141591,19.02282507,16.0075188,11.51268843,13.71531697,11.58611497,9.579422939,9.327564171,10.70763704,17.22407874,17.07253322,12.5236668,10.80740063,13.79910208,12.3243276,13.76493749,11.69953311,11.06062935,9.984153491,9.731925458,8.738631131,9.257956798,6.712704191,6.56806365,7.4711301,8.721901907,8.322256587,7.591989457,8.630207319,7.279740704,9.056775984,9.6399204,7.97303747,8.417979883,8.580769409,8.707008917,9.938260117,8.842170515,8.353083117,8.130852051,8.794204184,9.969762245,9.019747503,8.679639555,8.490738726,9.843843951,9.439019869,9.946803593,9.724092248,10.84049066,10.34046351,9.766573186,9.902515991,9.76443494,9.291924266,9.410038634,9.340109605,10.49543545,9.926868128,10.61523249,10.40986187,7.095913849
ATVI US  EQUITY,PX_LAST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.517884442,1.413503791,1.740762384,1.637756948,0.943439729,1.105733684,1.444536684,1.421512838,1.293574575,1.288098441,1.089333799,1.08829403,1.239768611,1.108790995,1.161157683,1.170857125,1.178018497,1.19524006,1.10196948,1.003412841,0.93301555,1.488963986,1.415618871,1.603132246,1.76306914,1.980746581,2.171397051,1.885937456,1.789948489,2.029214424,2.099279494,2.625567611,3.199684819,2.735511719,3.129436192,3.403462154,2.708523921,3.971203266,4.438179,4.727916314,4.509287693,4.534668773,nan,nan,nan
AYI US  EQUITY,PX_LAST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.873741694,1.196587707,1.292456525,0.855578089,0.949387788,0.946916226,1.233166043,1.302120015,1.818064746,1.675063219,1.855064167,1.534951699,1.9977592,1.753989362,1.627075527,1.825487087,1.935262552,2.472856175,2.443000828,2.716797433,3.015993498,3.031919584,3.124023764,2.478341584,3.248314439,3.054842798,3.190265646,2.701149024,2.305549634,1.460276482,1.692734952,1.918138548,2.072423364,2.456916357,2.076969628,2.564897256,3.247093519,3.20060148,2.940567768,1.90640089,2.779457339,3.197498741,2.522727736,3.090532835,3.226081782,3.221211129,3.396808208,3.863315629,4.411454421,5.176053264,5.187546901,4.276472842,4.923274113,5.732976796,5.85196316,5.532222473,7.019815941,6.298003654,6.748157869,6.915088722,5.802785292,4.919502321,5.506054114,4.281332881,4.255877021,3.45384418,2.884710478,3.653971582,2.613962319
ADBE US  EQUITY,PX_LAST,6.274956063,5.260600561,6.300214203,3.132510223,3.372368721,4.20218281,3.70508312,3.817507078,2.963093863,4.126452041,3.909342561,4.667225341,4.11133794,3.322855373,5.462735849,6.301773558,8.602819517,11.81661074,15.45653985,20.79658467,25.70854231,27.52136996,18.51492059,11.17386825,16.35030778,8.448944909,11.82509564,13.84772555,8.42958081,5.918562725,8.504678041,10.22632979,9.207973766,10.65474642,8.446811274,7.69930975,8.827552145,9.626771531,13.03361868,10.10896066,7.521425942,7.090766563,11.72700447,4.12189973,3.687419535,4.447082567,4.687001322,4.800221017,4.547153357,5.54243786,5.521242506,5.046866802,5.168545223,4.798725851,2.539693901,2.431151472,3.091882443,3.69256904,3.930705026,3.596083654,2.679712055,2.638509116,2.975206612,3.086459972,2.881355932,2.140756749,2.402828657,2.84237298,2.621519623,2.492220216,2.793449332,3.203802007,3.30852184,3.813425549,4.418918719,4.957206952,5.421321166,5.125071295,5.337621051,5.611377573,6.106634303,5.993497689,6.679085376,6.63235003,6.593883156,7.412415489,6.853144991,8.490412157,8.941033681,8.999161494,10.17612524,12.33509348,13.73523298,14.8960121,11.78462228
AAP US  EQUITY,PX_LAST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.484130744,4.964823437,4.640626257,4.197704146,3.644278607,3.361792712,4.335807008,4.580502095,4.791554674,4.534920468,4.530175337,3.22942072,4.011916297,4.807213371,5.799465278,4.634103399,4.943228626,4.673324864,3.144119221,3.548873534,3.622400204,3.784095903,3.69841571,2.853663272,3.473190603,3.185358632,3.752382853,3.53136162,2.927051998,3.526536806,3.263696612,2.895842147,2.897402284,2.995232567,3.849279356,4.544672115,4.777497407,5.084331459,5.067559235,5.544097693,6.392219334,7.498733612,5.052869354,4.680730274,4.573383204,4.956510671,4.615238839,4.358679691,5.443532184,6.027786852,5.860174814,5.202596452,5.996876291,5.426094697,5.396587338,6.026286756,4.543462559,4.753613343,4.500604209,3.976728928,4.34523349,3.736625015,2.838872744,2.336852196,2.282782223,2.563496943,2.837122789,3.407726191,3.136334755
AMD US  EQUITY,PX_LAST,1.943619072,1.503055137,1.037357442,1.104310465,0.889337093,0.98888427,1.752177463,2.848787721,2.418365421,2.258938606,1.24297979,2.119624832,1.2794583,1.39264761,2.104102274,1.212604832,1.355135419,1.323670753,2.173406237,4.111383655,4.924459744,2.59266061,1.368061883,2.55947846,2.627798287,0.762808633,1.519069785,1.430892095,0.947220706,0.565905767,0.902070853,0.90463295,0.973912515,1.693313621,2.140312572,2.332432743,2.235909551,1.798934477,2.865769541,2.168065419,2.414234796,3.405727569,3.976039812,3.403294504,2.44353943,2.414942518,1.924186121,1.380024515,1.768313795,1.77600775,1.520064856,1.353556245,2.400856566,2.387774594,10.35971223,-12.47954173,-5.559546042,-6.674528302,10.02381692,7.837335137,6.560903469,7.530184283,5.477434043,3.792221536,2.94340576,2.030213412,2.370604504,5.336349724,3.626811824,2.426205904,3.180492976,4.387474191,8.182912154,6.346826587,5.157936825,5.979719654,6.397923347,4.939881211,11.07883817,122.3744292,-13.25966851,-4.044204091,-5.517108804,-4.493142046,-9.89412897,16.61856662,25.4888739,33.50990327,28.3443107,23.65930599,16.68018822,13.61973167,16.62784248,27.4309564,14.65428277
