,Dates,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/30/2000,12/31/2000,3/31/2001,6/30/2001,9/30/2001,12/31/2001,3/31/2002,6/30/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/31/2005,3/31/2006,6/30/2006,9/30/2006,12/31/2006,3/31/2007,6/30/2007,9/30/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018
MMM US  EQUITY,RETURN_COM_EQY,20.228,20.1752,14.334,13.6464,14.7883,15.3948,23.1774,23.8322,25.892,33.9171,34.742,34.4681,33.5512,21.789,19.8112,19.3457,20.4469,24.9714,28.8425,30.5201,29.5332,29.6713,27.8003,27.4584,23.5969,21.8202,22.6678,22.9098,27.0858,28.7923,32.6848,32.8625,32.6509,32.4359,34.6304,36.3876,36.0369,35.6579,32.7438,33.0488,32.5484,32.5714,29.9523,30.4432,31.1442,32.228,37.8402,41.0588,39.9651,40.277,37.7407,33.0473,32.832,32.5838,31.997,26.971,24.2352,22.7515,28.2017,30.9402,31.8318,29.3712,28.7403,28.1836,27.3154,26.2195,27.5585,26.4843,25.6936,25.4652,26.9374,25.9631,26.1245,25.6603,26.5644,26.6648,27.2892,28.7321,32.3805,31.5511,32.7192,35.0788,38.9491,38.2768,39.2204,40.7888,45.8966,44.8728,45.9016,45.4696,44.4444,37.6673,40.1804,40.4126,50.0866
AOS US  EQUITY,RETURN_COM_EQY,19.1447,17.9821,17.9242,16.87,15.8011,16.8771,16.4157,17.3741,37.073,36.7487,37.3218,36.7974,11.6829,12.1365,11.1117,11.524,11.5983,11.7797,10.1954,10.7525,11.2734,10.2762,6.7661,5.2902,3.6492,1.8173,3.2217,3.9386,4.7495,6.539,10.6643,10.7111,9.4985,8.7264,9.6022,8.8459,8.1811,7.6406,6.0679,6.5176,4.6697,5.7317,7.7275,7.7391,10.4533,11.4633,11.7919,12.0401,11.8878,12.7965,12.2296,12.0961,12.3625,11.8001,11.6949,8.609,6.8241,8.3073,11.5172,14.9641,13.8882,12.8553,13.5222,14.134,17.5172,31.1025,31.0797,30.2725,27.9094,13.0978,13.9304,12.6494,13.039,13.6334,13.4533,13.7567,14.7405,14.9935,15.3358,15.9723,16.7049,18.3228,20.0382,20.6686,21.5275,21.9539,22.0787,22.3784,22.363,22.3406,18.7415,18.7859,19.7189,19.9059,26.3949
ABT US  EQUITY,RETURN_COM_EQY,39.8839,39.9749,39.987,40.2859,40.4774,40.8625,40.8382,41.112,41.5102,42.6614,42.662,42.9937,43.2043,44.5303,43.4519,43.1124,42.1171,40.0181,37.1098,35.4484,34.3312,35.9944,34.828,23.407,20.4656,19.903,17.5878,29.96,29.1806,28.9325,28.328,26.3283,21.989,21.7379,23.198,22.3053,25.5901,25.831,23.621,23.4805,25.6811,24.7645,23.4651,23.7533,21.2007,21.2024,12.0603,10.7743,12.6208,12.3366,22.6579,23.8192,24.3777,26.02,27.6857,29.9614,27.5379,28.236,28.2893,27.3712,26.7098,22.1078,20.193,19.7281,22.2,19.7827,20.0727,20.3944,19.2228,25.2956,23.309,21.916,17.1531,11.9857,9.9245,10.4658,10.4314,8.4492,9.7822,18.5622,19.3907,20.7323,20.6987,11.4893,10.4297,6.5366,6.7067,5.7714,4.48,7.9647,1.8548,1.5169,2.9785,2.8245,7.7107
ABBV US  EQUITY,RETURN_COM_EQY,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,68.7545,71.2031,68.2995,47.179,105.105,108.1787,95.0319,90.2943,56.9137,59.7959,38.8733,59.1081,180.6576,181.4618,102.2613,106.8832,138.2123,130.3807,113.1256,100.6689,108.5585,148.5674,148.5674,148.5674,148.5674
ACN US  EQUITY,RETURN_COM_EQY,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-42.3627,-42.3627,67.9496,62.0306,92.8279,68.0672,80.8281,67.2654,62.4691,48.7192,60.973,51.0084,52.3892,49.3628,59.3599,65.691,53.7388,52.6169,54.2068,72.1664,82.306,75.7459,62.8235,72.6901,72.2442,72.4822,73.4931,88.7264,80.2141,65.3926,58.5935,63.7067,57.7408,53.4764,62.2353,55.9358,60.2469,62.9237,67.8415,62.3925,62.6674,66.1694,63.6406,63.1027,61.8516,67.6323,72.0815,70.6962,54.1631,53.2824,55.0213,58.0476,53.9921,52.4014,51.4688,53.4347,57.4379,57.9865,60.0759,64.5386,51.5664,46.8388,41.7474,43.1538,40.6788,44.1181,42.0406,38.6664
ATVI US  EQUITY,RETURN_COM_EQY,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.8352,1.0142,2.7245,2.93,3.3034,3.9792,5.0509,6.0404,6.9334,10.302,9.1396,7.5895,8.1383,10.2802,10.8079,11.7961,10.086,10.9705,8.9171,7.3799,6.5548,11.8802,13.0631,12.49,14.4583,11.5156,10.9586,9.7218,10.3528,11.2294,11.5947,12.2941,11.8286,2.9385,3.6043,5.0446,5.6046,17.4072,,,
AYI US  EQUITY,RETURN_COM_EQY,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.0355,12.208,11.928,11.7944,12.1386,12.3555,12.5303,15.1678,14.6264,10.6889,10.6665,10.2433,11.5399,16.2572,17.8652,19.6599,21.1163,22.6177,23.6612,24.3866,26.7572,27.7989,26.1911,23.7681,24.9514,21.0957,15.9657,13.6085,14.0638,12.8448,11.8507,11.6493,11.3911,12.8274,13.1827,14.5515,14.9318,14.3468,14.6683,14.6197,13.7297,13.9036,13.2981,13.9425,15.3015,15.583,16.1278,16.2262,16.1845,16.8254,17.765,17.5629,18.0602,18.7978,18.4519,19.2529,19.2101,18.5434,20.1082,19.348,18.0256,19.8279,21.1698,20.6717,20.5752
ADBE US  EQUITY,RETURN_COM_EQY,10.6594,12.7046,15.4173,14.5875,11.7508,11.9186,21.8199,22.5133,23.0059,27.7399,26.2792,24.3413,20.2395,13.1138,17.0718,19.7952,21.2356,30.3273,46.2292,44.6967,48.3475,48.8752,45.5121,42.4839,44.8449,37.2948,30.0316,25.9307,23.9621,25.9562,29.6446,28.237,25.4746,27.4746,30.0085,35.0045,36.7592,40.2239,35.6853,33.7262,33.1806,33.8841,36.6712,16.5946,15.9474,13.6923,14.4183,10.6943,11.521,14.1983,14.7688,17.9178,18.6597,18.6306,19.2446,19.201,16.2872,14.6585,8.3112,7.3033,7.6107,9.6895,15.3661,16.6487,18.2234,17.4288,15.1765,13.7309,13.5417,13.0665,13.3797,11.1429,8.6797,6.7352,4.3314,4.0535,4.1859,3.6205,3.7562,4.4151,5.2896,7.0751,9.1388,11.6892,12.924,14.0499,16.2034,17.8995,19.1759,20.6108,21.3281,23.1599,26.2558,28.347,29.0739
AAP US  EQUITY,RETURN_COM_EQY,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7.0868,7.0868,17.1797,13.2091,17.6637,19.418,22.7237,29.1369,27.8247,27.5309,27.7768,28.355,26.7504,27.1465,28.5886,28.2707,26.3004,24.7248,23.7173,22.6821,22.2669,23.2429,23.1978,23.6198,22.3284,23.4,22.6815,23.4256,22.0772,22.1183,22.9024,24.9706,26.3017,27.2396,29.7381,34.654,39.0799,39.1802,41.7805,44.8702,44.3589,40.3263,37.5787,33.3574,32.3175,31.0971,28.6672,28.3713,27.5847,26.9508,27.9769,25.8344,24.5139,23.1063,21.1376,20.2009,18.1394,17.1096,17.0434,14.4337,12.6246,11.6039,15.0206,15.3501,15.769,16.1066
AMD US  EQUITY,RETURN_COM_EQY,16.3782,13.3074,11.2732,7.9369,2.0894,-1.8911,-3.3436,-3.9045,-1.7629,-1.4704,-1.0411,-4.827,-8.5456,-6.9773,-5.1534,-8.8347,-1.2959,-6.844,-4.4643,11.2366,16.1634,36.1055,38.1688,33.553,23.3435,4.0792,-1.8012,-5.7346,-10.8543,-13.5076,-43.2728,-49.0576,-48.1518,-42.4493,-11.1909,-3.4513,3.7155,6.7697,3.3461,1.0638,0.2901,1.4402,5.2024,9.6128,11.5586,12.6062,-3.6375,-19.399,-35.402,-47.7374,-77.0142,-79.8776,-125.3616,-126.8302,-200.77,-200.77,-200.77,-200.77,78.4516,78.4516,78.4516,78.4516,56.4748,61.5123,69.2018,87.39,37.6245,-46.6667,-45.9028,-64.9104,-111.1842,-100.7498,-115.1762,-90.6535,-15.342,9.2873,18.8372,10.3199,-110.2599,-213.2576,-213.2576,-213.2576,-213.2576,-213.2576,-213.2576,-213.2576,-213.2576,-213.2576,-213.2576,-14.5856,-6.5217,14.4128,36.8827,34.0426,36.1976
