,Dates,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/29/2000,12/29/2000,3/30/2001,6/29/2001,9/28/2001,12/31/2001,3/29/2002,6/28/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/30/2005,3/31/2006,6/30/2006,9/29/2006,12/29/2006,3/30/2007,6/29/2007,9/28/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/30/2011,3/30/2012,6/29/2012,9/28/2012,12/31/2012,3/29/2013,6/28/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/30/2016,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018
BKNG US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,497.25,693.375,387,284.25,480,227.906,71.25,7.875,15.187,54.3,22.74,34.92,31.38,16.74,8.76,9.6,9.84,22.28,29.04,17.9,26.96,26.93,22.17,23.59,25.2,23.33,19.32,22.32,24.84,29.86,36.79,43.61,53.26,68.74,88.75,114.86,120.86,115.46,68.43,73.65,78.78,111.55,165.82,218.41,255,176.54,348.34,399.55,506.44,511.93,449.46,467.71,717.5,664.52,619.07,620.39,688.162,826.67,1010.95,1162.4,1191.89,1203,1158.58,1140.21,1164.15,1151.37,1236.86,1274.95,1288.96,1248.41,1471.49,1466.06,1779.97,1870.52,1830.82,1737.74,2080.39,2027.09,1984,1722.42
AMZN US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.542,4.339,5.021,7.128,16.625,18.604,53.542,86.094,62.563,79.938,76.125,67,36.313,38.438,15.563,10.23,14.15,5.97,10.82,14.3,16.25,15.93,18.89,26.03,36.32,48.43,52.62,43.28,54.4,40.86,44.29,34.27,33.09,45.3,47.15,36.53,38.68,32.12,39.46,39.79,68.41,93.15,92.64,71.3,73.33,72.76,51.28,73.44,83.66,93.36,134.52,135.77,109.26,157.06,180,180.13,204.49,216.23,173.1,202.51,228.35,254.32,250.87,266.49,277.69,312.64,398.79,336.365,324.78,322.44,310.35,372.1,434.09,511.89,675.89,593.64,715.62,837.31,749.87,886.54,968,961.35,1169.47,1447.34,1699.8,2003,1501.97
GOOGL US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,64.863,96.488,90.342,147.218,158.383,207.631,195.189,209.868,201.145,230.463,229.302,261.603,283.91,346.075,220.448,263.465,200.454,153.974,174.199,210.999,248.165,310.29,283.835,222.691,263.15,297.273,293.664,253.435,257.77,323.263,320.931,290.316,377.616,354.033,397.479,440.612,438.379,560.898,557.795,584.67,588.41,530.66,554.7,540.04,638.37,778.01,762.9,703.53,804.06,792.45,847.8,929.68,973.72,1053.4,1037.14,1129.19,1207.08,1044.96
GOOG US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,555.445,573.705,575.779,524.958,546.499,520.51,608.42,758.88,744.95,692.1,777.29,771.82,829.56,908.73,959.11,1046.4,1031.79,1115.65,1193.47,1035.61
AZO US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,25.125,25.5,28.875,33.875,34.75,29,27.5,22.5,23.375,29.875,29,33.875,31.938,24.625,32.938,30.375,30.125,28.063,32.313,27.75,22.016,22.688,28.5,28.02,37.5,51.86,71.8,68.85,77.3,78.86,70.65,68.71,75.97,89.53,85.21,85.97,80.1,77.25,91.31,85.7,92.46,83.25,91.75,99.69,88.2,103.3,115.56,128.14,136.62,116.14,119.91,113.83,121.01,123.34,139.47,162.62,151.11,146.22,158.07,173.09,193.22,228.91,272.59,273.56,294.85,319.19,324.97,371.8,367.17,369.67,354.43,396.77,423.69,422.73,477.94,537.1,536.24,509.66,619.11,682.16,666.9,723.83,741.91,796.69,793.84,768.34,789.79,723.05,570.46,595.11,711.37,648.69,670.93,775.7,838.34
ESS US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,19.04,18.97,21.18,23.31,24.62,28.99,34.76,35.85,39.1,42.93,43.72,43.44,39.88,40.52,39.55,35.39,48.7,48.88,48.34,51.97,61.51,81.96,81.93,72.96,76.29,76.71,78.28,83.89,89.18,81.83,85.45,89.1,98.97,109.77,113.76,117.44,123.97,131.75,155.13,129.42,157.08,171.79,177.52,210.96,218.34,239.02,256.14,258.47,233.97,238.4,199.55,235.42,222.05,248.83,163.62,124.42,137.29,177.78,189.14,205.76,225.34,255.24,268.8,294.33,323.63,289.63,341.53,370.99,379.67,368.37,367.16,380.04,404.19,378.69,371.04,442.88,484.99,472.21,549.16,614.88,572.16,605.6,652.78,642.01,630.66,620.09,651.93,654.11,731.71,727.49,696.26,699.66,700.47,728.41,729.47
TDG US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,25.75,23.95,24.42,26.51,36.38,40.46,45.71,45.17,37.05,33.59,34.23,33.57,32.84,36.2,49.81,55.663,62.168,59.812,72.729,84.403,98.257,106.884,95.726,112.147,135.683,157.413,166.286,175.474,196.784,201.738,206.208,239.391,275.34,285.739,314.9,335.435,373.65,383.815,362.871,390.273,376.418,450.475,493.918,464.542,410.803,501.692,517.286,555.67,621.067,698.362,753.318,688.083
SHW US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,17.976,17.742,20.742,22.68,23.855,23.884,28.934,28,32.127,30.731,29.072,37.453,34.945,23.035,31.253,30.076,29.79,22.58,22.77,24.159,23.26,23.601,29.238,28.48,24.982,25.164,31.32,32.624,34.443,27.39,32.855,30.917,31.623,34.78,41.275,45.879,49.823,52.937,53.948,53.424,57.454,54.007,55.929,61.213,59.091,69.755,79.829,83.31,84.245,83.659,74.264,65.723,59.499,74.504,78.406,68.723,71.546,80.549,83.036,91.667,94.145,102.77,115.113,115.952,116.278,103.549,124.915,152.648,186.526,210.456,217.962,240.084,251.692,260.408,263.003,283.32,298.198,316.427,380.955,412.994,400.162,324.946,379.611,417.587,432.032,408.196,397.782,460.394,522.254,534.148,613.065,587.538,612.069,684.941,593.237
MTD US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17.25,22.188,20.063,21.5,28.063,24.75,25.5,29.625,38.188,40.938,40.016,44,54.375,41.16,43.25,42.14,51.85,45.26,36.87,26,32.06,29.79,36.65,35.95,42.21,44.4,49.14,47.22,51.31,47.5,46.58,50.98,55.2,60.34,60.57,66.15,78.85,89.57,95.51,102,113.8,97.12,94.86,98,67.4,51.33,77.15,90.59,104.99,109.2,111.63,124.44,151.21,172,168.67,139.96,147.71,184.75,155.85,170.74,193.3,213.22,201.2,240.09,242.59,235.68,253.18,256.13,302.46,328.65,341.46,284.74,339.13,344.76,364.92,419.83,418.56,478.91,588.54,626.16,619.52,575.03,578.63,608.98,565.58
BLK US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14,17.188,20.25,29,32,42,36,34.29,44.22,41.7,44.6,44.3,41.42,39.4,43.54,45.04,49.213,53.548,61.925,64.873,74.946,79.049,76.954,82.944,91.701,112.559,145.695,145.281,156.044,159.547,164.901,165.923,184.541,231.499,218.863,190.427,210,145.896,142.633,193.316,239.874,257.763,242.853,160.901,192.373,216.63,230.003,221.034,171.984,208.812,241.889,202.285,214.196,250.23,313.1,315.019,334.047,392.811,392.795,401.675,415.057,454.478,467.749,445.071,385.425,443.863,447.074,452.499,481.768,508.767,516.011,571.788,608.806,703.006,745.229,690.098,656.102,551.091
